run_id,suite,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count,policy_profile,attack_type,evidence_type,source_file
expanded-analysis-6df6bfb,scaling,,B0,demographic_parity_gap,5,0.0233254248241867,0.0011277241175884,0.0229535055125238,0.0224461899994766,0.0242046596488969,0.02227008547324,0.0247145507748893,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B0,equal_opportunity_gap,5,0.0291180823590766,0.0018661092785257,0.0282272137621947,0.0277544753351752,0.0307134888678554,0.0274772070504058,0.0318407266782471,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B0,equalized_odds_gap,5,0.0291180823590766,0.0018661092785257,0.0282272137621947,0.0277544753351752,0.0307134888678554,0.0274772070504058,0.0318407266782471,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B0,subgroup_accuracy_gap,5,0.1805076047680212,0.0007023441764039,0.1806875727136756,0.1799372950579864,0.1810372061532034,0.1795049571622811,0.1811738901610602,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B0,runtime_ms,5,38.51570800179616,3.4317559217700744,40.12591700302437,35.78713280148804,41.118333011399955,34.22679100185633,41.970541002228856,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,accuracy,5,0.7883798140770253,0.0301165237610172,0.8088977423638778,0.7657503320053122,0.8106241699867198,0.7543160690571049,0.8128818061088977,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,macro_f1,5,0.6181883322364611,0.1678283118985445,0.7217723907735627,0.4922001378276689,0.7441765266452531,0.4299772899318698,0.7501217374973354,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,demographic_parity_gap,5,0.1244432468602044,0.1182642284323979,0.1469737420472684,0.0303725345301133,0.2185139591902954,0.0,0.2365938794570214,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,equal_opportunity_gap,5,0.1165052314824599,0.1110691227495014,0.1305708562129173,0.0288004862191264,0.2051054150713077,0.0,0.2273182947372148,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,equalized_odds_gap,5,0.1165052314824599,0.1110691227495014,0.1305708562129173,0.0279050478936121,0.2051054150713077,0.0,0.2273182947372148,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,subgroup_accuracy_gap,5,0.1452734563768896,0.0455520558061,0.1136810963108536,0.1116892488479597,0.1788597380364934,0.1111355723018985,0.1963740384553856,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,runtime_ms,5,51.33207499748096,4.345162069003431,54.469749971758574,47.94662500498816,54.496333200950176,46.02800001157448,54.513500013854355,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B6,accuracy,5,0.776148738379814,0.0164954459592318,0.7797476759628154,0.7627755644090305,0.7882735723771581,0.7553120849933599,0.797742363877822,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B6,macro_f1,5,0.5385676756216312,0.0852523765172892,0.5468134883688904,0.472590709380926,0.6029890554874842,0.4342592340096279,0.6515898108538913,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B6,demographic_parity_gap,5,0.0401145537958185,0.0348399324198717,0.0337336893643493,0.0130025085547358,0.0672265990369012,0.0014782694392431,0.0836564300026733,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B6,equal_opportunity_gap,5,0.0479908331243634,0.0438303153054874,0.0279101888383235,0.0145910292799649,0.0825078213761623,0.004772510340439,0.1026338202188785,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B6,equalized_odds_gap,5,0.0479908331243634,0.0438303153054874,0.0279101888383235,0.0145910292799649,0.0825078213761623,0.004772510340439,0.1026338202188785,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B6,subgroup_accuracy_gap,5,0.1703747422556644,0.0230833330130442,0.1719209805960261,0.1511091975439163,0.1868999511375733,0.135244513026714,0.1948957690161424,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B6,runtime_ms,5,38.81623318884522,4.021708411365052,37.35304204747081,35.67897479515523,41.95349158253521,34.85125000588596,43.395624961704016,3.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B0,accuracy,5,0.7707436918990703,0.0008433196344412,0.7707171314741036,0.7700796812749003,0.7714077025232404,0.7697211155378486,0.7716467463479416,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B0,macro_f1,5,0.5063454257773574,0.0039725690384316,0.5059314950480023,0.5032220809543998,0.5094687706003153,0.5015904458504634,0.5105972421663307,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B0,demographic_parity_gap,5,0.0235816581936556,0.001542082800938,0.0230456177761102,0.0223883470283795,0.0247582630788431,0.021882319321805,0.0253058585505866,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B0,equal_opportunity_gap,5,0.029818050542341,0.003039407316507,0.0281135417624643,0.0275226758502979,0.0321543243056439,0.027068216337808,0.0334315634583934,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B0,equalized_odds_gap,5,0.029818050542341,0.003039407316507,0.0281135417624643,0.0275226758502979,0.0321134252343841,0.027068216337808,0.0334315634583934,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B0,subgroup_accuracy_gap,5,0.180330212435312,0.0010453639060245,0.1807925630419882,0.1795259552279436,0.1811344696426804,0.1791107519784829,0.1813645537205962,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B0,runtime_ms,5,45.5807916005142,4.998291795046447,46.89383303048089,41.96393339661881,49.23011660575867,39.54504197463393,52.34275001566857,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,accuracy,5,0.7820185922974767,0.0217797205480197,0.7791500664010624,0.7657503320053122,0.7995252324037184,0.7543160690571049,0.8108233731739708,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,macro_f1,5,0.5604155138571525,0.103294863109656,0.5456728592359705,0.483672314583543,0.6444845708219112,0.4299772899318698,0.6979977169958171,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,demographic_parity_gap,5,0.0569136321757123,0.0583588465520139,0.0341343335805106,0.0166809933465137,0.1046142767870415,0.0,0.148636436606593,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,equal_opportunity_gap,5,0.0735309322075044,0.0811222442602219,0.0332042194589327,0.0181412514544589,0.1431522330835785,0.0,0.2013371025978336,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,equalized_odds_gap,5,0.0735309322075044,0.0811222442602219,0.0332042194589327,0.0181412514544589,0.1416747255735152,0.0,0.2013371025978336,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,subgroup_accuracy_gap,5,0.1652879227362653,0.0268135481974623,0.1725058493393603,0.1453065863016586,0.1850472950938926,0.1279136245331225,0.1963740384553856,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B5,runtime_ms,5,58.224725001491606,4.180130065833573,59.645375004038215,54.86862292164005,61.372925410978496,52.37329099327326,62.33054201584309,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B6,accuracy,5,0.7765338645418327,0.014792511489962,0.7760292164674635,0.7650863213811421,0.7879814077025232,0.7592961487383798,0.7952855245683931,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B6,macro_f1,5,0.5388064696895636,0.0788090281533074,0.5297209428444549,0.4799970863070653,0.6021922981558079,0.4510689161520778,0.6505065350300432,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
expanded-analysis-6df6bfb,scaling,,B6,demographic_parity_gap,5,0.0448778209656538,0.050486499926238,0.0333484306242706,0.0147627674929001,0.0894695442896203,0.004974603834522,0.1322631608054455,5.0,,,derived,outputs/revision_audit/expanded-analysis-6df6bfb/experiment_summary.csv
