run_id,suite,partition,method,metric,client_count,policy_profile,attack_type,n,mean,ci95_low,ci95_high,evidence_type,source_file
expanded-analysis-6df6bfb,scaling,,B5,accuracy,3.0,,,5,0.7883798140770253,0.7657503320053122,0.8106241699867198,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,macro_f1,3.0,,,5,0.6181883322364611,0.4922001378276689,0.7441765266452531,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,demographic_parity_gap,3.0,,,5,0.1244432468602044,0.0303725345301133,0.2185139591902954,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,equal_opportunity_gap,3.0,,,5,0.1165052314824599,0.0288004862191264,0.2051054150713077,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,equalized_odds_gap,3.0,,,5,0.1165052314824599,0.0279050478936121,0.2051054150713077,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,subgroup_accuracy_gap,3.0,,,5,0.1452734563768896,0.1116892488479597,0.1788597380364934,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B5,runtime_ms,3.0,,,5,51.33207499748096,47.94662500498816,54.496333200950176,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,accuracy,3.0,,,5,0.776148738379814,0.7627755644090305,0.7882735723771581,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,macro_f1,3.0,,,5,0.5385676756216312,0.472590709380926,0.6029890554874842,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,demographic_parity_gap,3.0,,,5,0.0401145537958185,0.0130025085547358,0.0672265990369012,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,equal_opportunity_gap,3.0,,,5,0.0479908331243634,0.0145910292799649,0.0825078213761623,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,equalized_odds_gap,3.0,,,5,0.0479908331243634,0.0145910292799649,0.0825078213761623,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,subgroup_accuracy_gap,3.0,,,5,0.1703747422556644,0.1511091975439163,0.1868999511375733,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B6,runtime_ms,3.0,,,5,38.81623318884522,35.67897479515523,41.95349158253521,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,accuracy,5.0,,,5,0.7707436918990703,0.7700796812749003,0.7714077025232404,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,macro_f1,5.0,,,5,0.5063454257773574,0.5032220809543998,0.5094687706003153,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,demographic_parity_gap,5.0,,,5,0.0235816581936556,0.0223883470283795,0.0247582630788431,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,equal_opportunity_gap,5.0,,,5,0.029818050542341,0.0275226758502979,0.0321543243056439,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,equalized_odds_gap,5.0,,,5,0.029818050542341,0.0275226758502979,0.0321134252343841,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,subgroup_accuracy_gap,5.0,,,5,0.180330212435312,0.1795259552279436,0.1811344696426804,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
expanded-analysis-6df6bfb,scaling,,B0,runtime_ms,5.0,,,5,45.5807916005142,41.96393339661881,49.23011660575867,derived,outputs/revision_audit/expanded-analysis-6df6bfb/confidence_intervals.csv
