evidence_type,mode,concurrency,repetition,transaction_count,elapsed_ms,transactions_per_second,median_latency_ms,p95_latency_ms,failure_count,failure_rate,total_gas
measured_hardhat,sequential,20,14,20,22.858999999999924,874.9289120259008,1.143916999999874,1.1997499999999945,0,0,10933696
measured_hardhat,sequential,20,15,20,22.642125000000078,883.3093183612373,1.0990409999999429,1.2442499999999654,0,0,10933708
measured_hardhat,sequential,20,16,20,22.58654200000001,885.4830456118513,1.0939590000002681,1.3292499999997744,0,0,10933732
measured_hardhat,sequential,20,17,20,24.536207999999988,815.1218802840281,1.1235830000000533,1.393000000000029,0,0,10933744
measured_hardhat,sequential,20,18,20,25.323917000000165,789.7672386147794,1.1806250000004184,1.6500420000002123,0,0,10933744
measured_hardhat,sequential,20,19,20,26.83879100000013,745.1900497306269,1.2253330000003189,1.4401670000002014,0,0,10933744
measured_hardhat,sequential,20,20,20,24.676208999999744,810.4972688470991,1.2078750000000582,1.3622920000002523,0,0,10933756
measured_hardhat,sequential,20,21,20,23.68979199999967,844.2454876767292,1.1590000000001055,1.2977079999996022,0,0,10933732
measured_hardhat,sequential,20,22,20,23.1857500000001,862.598794518181,1.154207999999926,1.233208999999988,0,0,10933696
measured_hardhat,sequential,20,23,20,22.570042000000285,886.1303846931143,1.1188339999998789,1.2231660000002194,0,0,10933684
measured_hardhat,sequential,20,24,20,25.147917000000234,795.2944969557444,1.1336249999999382,1.5009169999998448,0,0,10933732
measured_hardhat,sequential,20,25,20,23.533374999999978,849.8568522364523,1.1449579999998605,1.2499589999997625,0,0,10933720
measured_hardhat,sequential,20,26,20,26.41008299999976,757.286525756098,1.1887080000001333,1.3553750000000946,0,0,10933720
measured_hardhat,sequential,20,27,20,22.564124999999876,886.3627550370383,1.1197090000000571,1.1795419999998558,0,0,10933684
measured_hardhat,sequential,20,28,20,22.570582999999715,886.1091448103159,1.1192910000004304,1.191834000000199,0,0,10933684
measured_hardhat,sequential,20,29,20,22.30962499999987,896.4740554805434,1.11725000000024,1.1419160000000375,0,0,10933732
measured_hardhat,sequential,20,30,20,22.559999999999945,886.5248226950376,1.1221250000003238,1.1822080000001733,0,0,10933696
measured_hardhat,concurrent,1,1,1,1.4636250000003201,683.2351182849304,1.4636250000003201,1.4636250000003201,0,0,484469
measured_hardhat,concurrent,1,2,1,1.1975000000002183,835.0730688933759,1.1975000000002183,1.1975000000002183,0,0,484469
measured_hardhat,concurrent,1,3,1,1.205583999999817,829.4735165696889,1.205583999999817,1.205583999999817,0,0,484469
measured_hardhat,concurrent,1,4,1,1.157832999999755,863.6824136125085,1.157832999999755,1.157832999999755,0,0,484469
measured_hardhat,concurrent,1,5,1,1.2785420000000158,782.1409073772999,1.2785420000000158,1.2785420000000158,0,0,484469
measured_hardhat,concurrent,1,6,1,1.2013749999996435,832.3795650819243,1.2013749999996435,1.2013749999996435,0,0,484469
measured_hardhat,concurrent,1,7,1,1.148541000000023,870.66983242216,1.148541000000023,1.148541000000023,0,0,484469
measured_hardhat,concurrent,1,8,1,1.1545000000000982,866.1758336941663,1.1545000000000982,1.1545000000000982,0,0,484469
measured_hardhat,concurrent,1,9,1,1.106916000000183,903.4109182628445,1.106916000000183,1.106916000000183,0,0,484469
measured_hardhat,concurrent,1,10,1,1.1921250000000327,838.8382090804006,1.1921250000000327,1.1921250000000327,0,0,484553
measured_hardhat,concurrent,1,11,1,1.0980829999998605,910.6779724302507,1.0980829999998605,1.0980829999998605,0,0,484553
measured_hardhat,concurrent,1,12,1,3.330416000000241,300.2627899937808,3.330416000000241,3.330416000000241,0,0,484553
measured_hardhat,concurrent,1,13,1,1.1480839999999262,871.0164064650882,1.1480839999999262,1.1480839999999262,0,0,484553
measured_hardhat,concurrent,1,14,1,1.048917000000074,953.3642795377798,1.048917000000074,1.048917000000074,0,0,484553
measured_hardhat,concurrent,1,15,1,1.0925000000002,915.3318077801528,1.0925000000002,1.0925000000002,0,0,484553
measured_hardhat,concurrent,1,16,1,1.2121250000000146,824.9974218830466,1.2121250000000146,1.2121250000000146,0,0,484553
measured_hardhat,concurrent,1,17,1,1.1473329999998896,871.5865402634599,1.1473329999998896,1.1473329999998896,0,0,484553
measured_hardhat,concurrent,1,18,1,1.1655420000001868,857.9699401650389,1.1655420000001868,1.1655420000001868,0,0,484553
measured_hardhat,concurrent,1,19,1,1.159874999999829,862.1618708913869,1.159874999999829,1.159874999999829,0,0,484553
measured_hardhat,concurrent,1,20,1,1.0886249999998654,918.5899644047525,1.0886249999998654,1.0886249999998654,0,0,484553
measured_hardhat,concurrent,1,21,1,1.1387500000000728,878.1558726673422,1.1387500000000728,1.1387500000000728,0,0,484541
measured_hardhat,concurrent,1,22,1,1.154584000000341,866.1128163907562,1.154584000000341,1.154584000000341,0,0,484553
measured_hardhat,concurrent,1,23,1,1.1349160000004304,881.1224795488131,1.1349160000004304,1.1349160000004304,0,0,484553
measured_hardhat,concurrent,1,24,1,1.0642499999999018,939.6288466056774,1.0642499999999018,1.0642499999999018,0,0,484553
measured_hardhat,concurrent,1,25,1,1.0814589999999953,924.6767561229823,1.0814589999999953,1.0814589999999953,0,0,484553
measured_hardhat,concurrent,1,26,1,1.0850830000003953,921.5884867790166,1.0850830000003953,1.0850830000003953,0,0,484553
measured_hardhat,concurrent,1,27,1,1.0606250000000728,942.8403064230349,1.0606250000000728,1.0606250000000728,0,0,484553
measured_hardhat,concurrent,1,28,1,1.1051669999997102,904.8406258965949,1.1051669999997102,1.1051669999997102,0,0,484553
measured_hardhat,concurrent,1,29,1,1.121291999999812,891.8283551476044,1.121291999999812,1.121291999999812,0,0,484553
measured_hardhat,concurrent,1,30,1,1.0505419999999503,951.8895960371382,1.0505419999999503,1.0505419999999503,0,0,484553
measured_hardhat,concurrent,5,1,5,5.9204170000002705,844.5351062264316,5.9204170000002705,5.9204170000002705,0,0,2353945
measured_hardhat,concurrent,5,2,5,5.535083000000213,903.3288209047286,5.535083000000213,5.535083000000213,0,0,2353945
measured_hardhat,concurrent,5,3,5,5.404625000000124,925.133566158593,5.404625000000124,5.404625000000124,0,0,2353933
measured_hardhat,concurrent,5,4,5,5.982332999999926,835.794329737255,5.982332999999926,5.982332999999926,0,0,2353921
measured_hardhat,concurrent,5,5,5,5.564209000000119,898.6003221661682,5.564209000000119,5.564209000000119,0,0,2353933
measured_hardhat,concurrent,5,6,5,7.843374999999924,637.4806763670039,7.843374999999924,7.843374999999924,0,0,2353933
measured_hardhat,concurrent,5,7,5,5.21383300000025,958.9873707116742,5.21383300000025,5.21383300000025,0,0,2353945
measured_hardhat,concurrent,5,8,5,5.58587499999976,895.114910376658,5.58587499999976,5.58587499999976,0,0,2353933
measured_hardhat,concurrent,5,9,5,5.145790999999917,971.6679126688357,5.145790999999917,5.145790999999917,0,0,2353945
measured_hardhat,concurrent,5,10,5,5.263500000000022,949.9382540134852,5.263500000000022,5.263500000000022,0,0,2354341
measured_hardhat,concurrent,5,11,5,5.598167000000103,893.1494898240634,5.598167000000103,5.598167000000103,0,0,2354329
measured_hardhat,concurrent,5,12,5,5.433250000000044,920.2595131827101,5.433250000000044,5.433250000000044,0,0,2354353
measured_hardhat,concurrent,5,13,5,5.2617089999998825,950.2615975152012,5.2617089999998825,5.2617089999998825,0,0,2354341
measured_hardhat,concurrent,5,14,5,5.502790999999888,908.6298207582482,5.502790999999888,5.502790999999888,0,0,2354365
measured_hardhat,concurrent,5,15,5,5.622916000000259,889.2183344015399,5.622916000000259,5.622916000000259,0,0,2354353
measured_hardhat,concurrent,5,16,5,5.439915999999812,919.1318395357893,5.439915999999812,5.439915999999812,0,0,2354365
measured_hardhat,concurrent,5,17,5,5.007125000000087,998.5770277354596,5.007125000000087,5.007125000000087,0,0,2354353
measured_hardhat,concurrent,5,18,5,4.97708399999965,1004.604302439009,4.97708399999965,4.97708399999965,0,0,2354329
measured_hardhat,concurrent,5,19,5,5.3816249999999854,929.0874038975242,5.3816249999999854,5.3816249999999854,0,0,2354365
measured_hardhat,concurrent,5,20,5,5.050582999999733,989.984720575875,5.050582999999733,5.050582999999733,0,0,2354365
measured_hardhat,concurrent,5,21,5,5.026832999999897,994.6620466604128,5.026832999999897,5.026832999999897,0,0,2354353
measured_hardhat,concurrent,5,22,5,5.097207999999682,980.9291674972478,5.097207999999682,5.097207999999682,0,0,2354341
measured_hardhat,concurrent,5,23,5,5.694958999999926,877.9694463120919,5.694958999999926,5.694958999999926,0,0,2354353
measured_hardhat,concurrent,5,24,5,5.2420420000003105,953.8267720860886,5.2420420000003105,5.2420420000003105,0,0,2354353
measured_hardhat,concurrent,5,25,5,6.740292000000409,741.807624951515,6.740292000000409,6.740292000000409,0,0,2354353
measured_hardhat,concurrent,5,26,5,4.954666999999972,1009.14955535862,4.954666999999972,4.954666999999972,0,0,2354365
measured_hardhat,concurrent,5,27,5,5.957167000000027,839.3251355887752,5.957167000000027,5.957167000000027,0,0,2354353
measured_hardhat,concurrent,5,28,5,5.029833000000053,994.0687891625721,5.029833000000053,5.029833000000053,0,0,2354353
measured_hardhat,concurrent,5,29,5,4.936874999999873,1012.786428661882,4.936874999999873,4.936874999999873,0,0,2354365
measured_hardhat,concurrent,5,30,5,4.960584000000381,1007.945838635051,4.960584000000381,4.960584000000381,0,0,2354353
measured_hardhat,concurrent,10,1,10,10.535167000000001,949.2018493869151,10.535167000000001,10.535167000000001,0,0,4691582
measured_hardhat,concurrent,10,2,10,10.402166000000307,961.338244361771,10.402166000000307,10.402166000000307,0,0,4691582
measured_hardhat,concurrent,10,3,10,10.555166999999983,947.4032954665726,10.555166999999983,10.555166999999983,0,0,4691606
measured_hardhat,concurrent,10,4,10,10.203292000000147,980.0758421889578,10.203292000000147,10.203292000000147,0,0,4691618
measured_hardhat,concurrent,10,5,10,10.507333000000017,951.7162918506518,10.507333000000017,10.507333000000017,0,0,4691618
measured_hardhat,concurrent,10,6,10,10.630333000000064,940.7043034305641,10.630333000000064,10.630333000000064,0,0,4691582
measured_hardhat,concurrent,10,7,10,12.221542000000227,818.2273562533937,12.221542000000227,12.221542000000227,0,0,4691606
measured_hardhat,concurrent,10,8,10,11.217375000000175,891.4741639643717,11.217375000000175,11.217375000000175,0,0,4691618
measured_hardhat,concurrent,10,9,10,10.556125000000065,947.3173157763799,10.556125000000065,10.556125000000065,0,0,4691606
measured_hardhat,concurrent,10,10,10,11.768375000000106,849.7349889003291,11.768375000000106,11.768375000000106,0,0,5137844
measured_hardhat,concurrent,10,11,10,10.965541999999914,911.9476264830392,10.965541999999914,10.965541999999914,0,0,5137832
measured_hardhat,concurrent,10,12,10,14.060958000000028,711.1890953660469,14.060958000000028,14.060958000000028,0,0,5137856
measured_hardhat,concurrent,10,13,10,10.949624999999742,913.2732856148257,10.949624999999742,10.949624999999742,0,0,5137868
measured_hardhat,concurrent,10,14,10,11.944749999999658,837.1878858913151,11.944749999999658,11.944749999999658,0,0,5137820
measured_hardhat,concurrent,10,15,10,10.916583000000173,916.0375549748342,10.916583000000173,10.916583000000173,0,0,5137844
measured_hardhat,concurrent,10,16,10,11.408416999999645,876.5457994742225,11.408416999999645,11.408416999999645,0,0,5137808
measured_hardhat,concurrent,10,17,10,13.867209000000003,721.1256425139333,13.867209000000003,13.867209000000003,0,0,5137880
measured_hardhat,concurrent,10,18,10,10.358083000000079,965.429607003528,10.358083000000079,10.358083000000079,0,0,5137868
measured_hardhat,concurrent,10,19,10,10.485333999999966,953.713062454666,10.485333999999966,10.485333999999966,0,0,5137868
measured_hardhat,concurrent,10,20,10,10.651749999999993,938.8128711244638,10.651749999999993,10.651749999999993,0,0,5137856
measured_hardhat,concurrent,10,21,10,11.35629199999994,880.5691153415264,11.35629199999994,11.35629199999994,0,0,5137832
measured_hardhat,concurrent,10,22,10,12.774209000000155,782.8273359234906,12.774209000000155,12.774209000000155,0,0,5137856
measured_hardhat,concurrent,10,23,10,10.563916999999947,946.6185696082287,10.563916999999947,10.563916999999947,0,0,5137856
measured_hardhat,concurrent,10,24,10,10.147792000000209,985.4360436240509,10.147792000000209,10.147792000000209,0,0,5137856
measured_hardhat,concurrent,10,25,10,11.859249999999975,843.2236439909793,11.859249999999975,11.859249999999975,0,0,5137856
measured_hardhat,concurrent,10,26,10,10.85904199999959,920.891548260001,10.85904199999959,10.85904199999959,0,0,5137808
measured_hardhat,concurrent,10,27,10,13.519792000000052,739.6563497426558,13.519792000000052,13.519792000000052,0,0,5137856
