batch_size,repetition,operation,gas_used
10,3,register_node,47874
10,3,submit_model,466529
10,3,register_node,47874
10,3,submit_model,466529
10,3,register_node,47874
10,3,submit_model,466517
10,3,register_node,47862
10,3,submit_model,466517
10,3,register_node,47874
10,3,submit_model,466529
10,3,register_node,47874
10,3,submit_model,466529
10,3,register_node,47874
10,3,submit_model,466529
10,3,register_node,47874
10,3,submit_model,466529
10,3,close_submissions,30614
10,3,start_aggregation,30757
10,3,publish_global_model,478639
10,3,archive_round,30919
10,4,create_round,47576
10,4,register_node,47874
10,4,submit_model,483629
10,4,register_node,47874
10,4,submit_model,466529
10,4,register_node,47874
10,4,submit_model,466529
10,4,register_node,47862
10,4,submit_model,466517
10,4,register_node,47874
10,4,submit_model,466517
10,4,register_node,47874
10,4,submit_model,466529
10,4,register_node,47874
10,4,submit_model,466529
10,4,register_node,47874
10,4,submit_model,466529
10,4,register_node,47874
10,4,submit_model,466529
10,4,register_node,47850
10,4,submit_model,466505
10,4,close_submissions,30614
10,4,start_aggregation,30757
10,4,publish_global_model,478639
10,4,archive_round,30919
10,5,create_round,47576
10,5,register_node,47874
10,5,submit_model,483629
10,5,register_node,47874
10,5,submit_model,466529
10,5,register_node,47874
10,5,submit_model,466529
10,5,register_node,47874
10,5,submit_model,466517
10,5,register_node,47874
10,5,submit_model,466529
10,5,register_node,47874
10,5,submit_model,466517
10,5,register_node,47874
10,5,submit_model,466529
10,5,register_node,47874
10,5,submit_model,466529
10,5,register_node,47874
10,5,submit_model,466505
10,5,register_node,47862
10,5,submit_model,466505
10,5,close_submissions,30614
10,5,start_aggregation,30757
10,5,publish_global_model,478639
10,5,archive_round,30919
10,6,create_round,47576
10,6,register_node,47862
10,6,submit_model,483605
10,6,register_node,47874
10,6,submit_model,466529
10,6,register_node,47874
10,6,submit_model,466529
10,6,register_node,47874
10,6,submit_model,466529
10,6,register_node,47874
10,6,submit_model,466529
10,6,register_node,47874
10,6,submit_model,466529
10,6,register_node,47874
10,6,submit_model,466529
10,6,register_node,47862
10,6,submit_model,466505
10,6,register_node,47874
10,6,submit_model,466529
10,6,register_node,47874
10,6,submit_model,466529
10,6,close_submissions,30614
10,6,start_aggregation,30757
10,6,publish_global_model,478639
10,6,archive_round,30919
10,7,create_round,47576
10,7,register_node,47874
10,7,submit_model,483629
10,7,register_node,47874
10,7,submit_model,466529
10,7,register_node,47874
10,7,submit_model,466529
10,7,register_node,47874
10,7,submit_model,466517
10,7,register_node,47874
10,7,submit_model,466529
10,7,register_node,47874
10,7,submit_model,466529
10,7,register_node,47874
10,7,submit_model,466517
10,7,register_node,47874
10,7,submit_model,466517
10,7,register_node,47874
10,7,submit_model,466529
10,7,register_node,47874
10,7,submit_model,466529
10,7,close_submissions,30614
10,7,start_aggregation,30757
10,7,publish_global_model,478639
10,7,archive_round,30919
10,8,create_round,47576
10,8,register_node,47874
10,8,submit_model,483629
10,8,register_node,47874
10,8,submit_model,466529
10,8,register_node,47874
10,8,submit_model,466529
10,8,register_node,47874
10,8,submit_model,466529
10,8,register_node,47874
10,8,submit_model,466529
10,8,register_node,47862
10,8,submit_model,466517
10,8,register_node,47874
10,8,submit_model,466529
10,8,register_node,47874
10,8,submit_model,466517
10,8,register_node,47874
10,8,submit_model,466529
10,8,register_node,47874
10,8,submit_model,466529
10,8,close_submissions,30614
10,8,start_aggregation,30757
10,8,publish_global_model,478639
10,8,archive_round,30919
10,9,create_round,47576
10,9,register_node,47874
10,9,submit_model,483629
10,9,register_node,47874
10,9,submit_model,466529
10,9,register_node,47874
10,9,submit_model,466529
10,9,register_node,47850
10,9,submit_model,466505
10,9,register_node,47874
10,9,submit_model,466529
10,9,register_node,47874
10,9,submit_model,466529
10,9,register_node,47874
10,9,submit_model,466529
10,9,register_node,47874
10,9,submit_model,466529
10,9,register_node,47874
10,9,submit_model,466529
10,9,register_node,47874
10,9,submit_model,466529
10,9,close_submissions,30614
10,9,start_aggregation,30757
10,9,publish_global_model,478639
10,9,archive_round,30919
10,10,create_round,47576
10,10,register_node,47874
10,10,submit_model,483713
10,10,register_node,47862
10,10,submit_model,466601
10,10,register_node,47874
10,10,submit_model,466601
10,10,register_node,47874
10,10,submit_model,466613
10,10,register_node,47874
10,10,submit_model,466613
10,10,register_node,47862
10,10,submit_model,466601
10,10,register_node,47874
10,10,submit_model,466601
10,10,register_node,47862
10,10,submit_model,466601
10,10,register_node,47874
10,10,submit_model,466613
10,10,register_node,47874
10,10,submit_model,466589
10,10,close_submissions,30614
10,10,start_aggregation,30757
10,10,publish_global_model,478783
10,10,archive_round,30919
10,11,create_round,47576
10,11,register_node,47874
10,11,submit_model,483701
10,11,register_node,47874
10,11,submit_model,466613
10,11,register_node,47874
10,11,submit_model,466613
10,11,register_node,47874
10,11,submit_model,466601
10,11,register_node,47862
10,11,submit_model,466601
10,11,register_node,47874
10,11,submit_model,466613
10,11,register_node,47874
10,11,submit_model,466613
10,11,register_node,47874
10,11,submit_model,466613
10,11,register_node,47874
10,11,submit_model,466613
10,11,register_node,47874
10,11,submit_model,466613
10,11,close_submissions,30614
10,11,start_aggregation,30757
10,11,publish_global_model,478783
10,11,archive_round,30919
10,12,create_round,47576
10,12,register_node,47874
10,12,submit_model,483713
10,12,register_node,47874
10,12,submit_model,466601
10,12,register_node,47874
10,12,submit_model,466613
10,12,register_node,47862
10,12,submit_model,466601
10,12,register_node,47874
10,12,submit_model,466613
10,12,register_node,47874
10,12,submit_model,466613
10,12,register_node,47874
10,12,submit_model,466613
10,12,register_node,47874
10,12,submit_model,466613
10,12,register_node,47874
10,12,submit_model,466613
10,12,register_node,47874
10,12,submit_model,466613
10,12,close_submissions,30614
10,12,start_aggregation,30757
10,12,publish_global_model,478783
10,12,archive_round,30919
10,13,create_round,47576
10,13,register_node,47874
10,13,submit_model,483701
10,13,register_node,47874
10,13,submit_model,466613
10,13,register_node,47874
10,13,submit_model,466613
10,13,register_node,47862
10,13,submit_model,466601
10,13,register_node,47874
10,13,submit_model,466613
10,13,register_node,47874
10,13,submit_model,466613
10,13,register_node,47874
10,13,submit_model,466613
10,13,register_node,47874
10,13,submit_model,466601
10,13,register_node,47874
10,13,submit_model,466613
10,13,register_node,47874
10,13,submit_model,466613
10,13,close_submissions,30614
10,13,start_aggregation,30757
10,13,publish_global_model,478783
10,13,archive_round,30919
10,14,create_round,47576
10,14,register_node,47874
10,14,submit_model,483713
10,14,register_node,47874
10,14,submit_model,466613
10,14,register_node,47850
10,14,submit_model,466589
10,14,register_node,47874
10,14,submit_model,466613
10,14,register_node,47874
10,14,submit_model,466613
10,14,register_node,47874
10,14,submit_model,466613
10,14,register_node,47874
10,14,submit_model,466613
10,14,register_node,47874
10,14,submit_model,466613
10,14,register_node,47874
10,14,submit_model,466613
10,14,register_node,47862
10,14,submit_model,466601
10,14,close_submissions,30614
10,14,start_aggregation,30757
10,14,publish_global_model,478783
10,14,archive_round,30919
10,15,create_round,47576
10,15,register_node,47874
10,15,submit_model,483713
10,15,register_node,47862
10,15,submit_model,466601
10,15,register_node,47874
10,15,submit_model,466613
10,15,register_node,47874
10,15,submit_model,466613
10,15,register_node,47862
10,15,submit_model,466601
10,15,register_node,47874
10,15,submit_model,466613
10,15,register_node,47874
10,15,submit_model,466613
10,15,register_node,47874
10,15,submit_model,466613
10,15,register_node,47874
10,15,submit_model,466601
10,15,register_node,47874
10,15,submit_model,466613
10,15,close_submissions,30614
10,15,start_aggregation,30757
10,15,publish_global_model,478783
10,15,archive_round,30919
10,16,create_round,47576
10,16,register_node,47874
10,16,submit_model,483713
10,16,register_node,47874
10,16,submit_model,466613
10,16,register_node,47874
10,16,submit_model,466613
10,16,register_node,47874
10,16,submit_model,466613
10,16,register_node,47874
10,16,submit_model,466613
10,16,register_node,47874
10,16,submit_model,466613
10,16,register_node,47874
10,16,submit_model,466613
10,16,register_node,47874
10,16,submit_model,466601
10,16,register_node,47874
10,16,submit_model,466613
10,16,register_node,47874
10,16,submit_model,466613
10,16,close_submissions,30614
10,16,start_aggregation,30757
10,16,publish_global_model,478783
10,16,archive_round,30919
10,17,create_round,47576
10,17,register_node,47874
10,17,submit_model,483713
10,17,register_node,47874
10,17,submit_model,466613
10,17,register_node,47874
10,17,submit_model,466613
10,17,register_node,47874
10,17,submit_model,466613
10,17,register_node,47874
10,17,submit_model,466613
10,17,register_node,47874
10,17,submit_model,466601
10,17,register_node,47874
10,17,submit_model,466613
10,17,register_node,47874
10,17,submit_model,466613
10,17,register_node,47874
10,17,submit_model,466613
10,17,register_node,47874
10,17,submit_model,466601
10,17,close_submissions,30614
10,17,start_aggregation,30757
10,17,publish_global_model,478783
10,17,archive_round,30919
10,18,create_round,47576
10,18,register_node,47874
10,18,submit_model,483713
10,18,register_node,47874
10,18,submit_model,466613
10,18,register_node,47862
10,18,submit_model,466601
10,18,register_node,47874
10,18,submit_model,466613
10,18,register_node,47874
