scenario_id,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum
adult_core,iid,B1,subgroup_accuracy_gap,10,0.17772430996089614,0.00025198405792952675,0.17775258754320838,0.17757712692020816,0.17787342471129308,0.1773026676790724,0.1781896293426182
adult_core,iid,B1,runtime_ms,10,76.76274159748573,1.9638172495194903,76.05897900066338,75.6624366039614,77.95945426871185,74.40487502026372,80.15220900415443
adult_core,iid,B3,accuracy,10,0.7748605577689243,0.00035441556266042787,0.7749003984063745,0.7746480743691898,0.7750597609561753,0.7743027888446216,0.7753652058432935
adult_core,iid,B3,macro_f1,10,0.5251355826358907,0.00139302213743495,0.5253372159185996,0.5243120159011921,0.5259331540536168,0.5230542760921071,0.5269894593197174
adult_core,iid,B3,demographic_parity_gap,10,0.02838133698824305,0.00029712337805153343,0.02836291453552575,0.02819988465506571,0.028556153708006994,0.0279751483840907,0.0288427929505473
adult_core,iid,B3,equal_opportunity_gap,10,0.02560973032317687,0.001353632909424364,0.02552336245202495,0.024850698397339,0.026427883113196115,0.0242052813496236,0.0277959456225141
adult_core,iid,B3,equalized_odds_gap,10,0.02560973032317687,0.001353632909424364,0.02552336245202495,0.02483933119736596,0.026418800777539272,0.0242052813496236,0.0277959456225141
adult_core,iid,B3,subgroup_accuracy_gap,10,0.17772430996089614,0.00025198405792952675,0.17775258754320838,0.1775777708234445,0.17787278080805677,0.1773026676790724,0.1781896293426182
adult_core,iid,B3,runtime_ms,10,77.70101670466829,4.019293282322402,75.48968750052154,75.52213947972632,80.26143150033022,74.64345800690353,85.38695800234564
adult_core,joint_dirichlet_0.3,B0,accuracy,10,0.7739907038512616,0.0015862458863931909,0.7735059760956176,0.7732470119521911,0.7750332005312085,0.7726427622841966,0.7780876494023904
adult_core,joint_dirichlet_0.3,B0,macro_f1,10,0.5216680143075632,0.006775955755095476,0.5195638822263203,0.5184467352949728,0.5262479036779213,0.5160466905234107,0.5393282899226354
adult_core,joint_dirichlet_0.3,B0,demographic_parity_gap,10,0.027258299536604257,0.0015507391832358882,0.0267293962147436,0.026559479979734447,0.02827847495068972,0.0261219908581386,0.0314135314881019
adult_core,joint_dirichlet_0.3,B0,equal_opportunity_gap,10,0.02515966917449563,0.0027082198795711017,0.02460284774064045,0.023730199508639888,0.026836872397753724,0.022477923926585,0.0305000825407234
adult_core,joint_dirichlet_0.3,B0,equalized_odds_gap,10,0.02515966917449563,0.0027082198795711017,0.02460284774064045,0.02370072618700127,0.026873090353245702,0.022477923926585,0.0305000825407234
adult_core,joint_dirichlet_0.3,B0,subgroup_accuracy_gap,10,0.17829030892932704,0.0015596906018812708,0.17874230292413706,0.17725657935211736,0.1789900231305688,0.174082670074553,0.1796614597494983
adult_core,joint_dirichlet_0.3,B0,runtime_ms,10,77.24687920417637,4.592876272507392,76.06808299897239,74.76420007122215,80.16163274689461,71.31712499540299,85.69133302080445
adult_core,joint_dirichlet_0.3,B1,accuracy,10,0.7739907038512616,0.0015862458863931909,0.7735059760956176,0.7732270916334663,0.7750464807436919,0.7726427622841966,0.7780876494023904
adult_core,joint_dirichlet_0.3,B1,macro_f1,10,0.5216680143075632,0.006775955755095476,0.5195638822263203,0.518468382979902,0.5262543129189666,0.5160466905234107,0.5393282899226354
adult_core,joint_dirichlet_0.3,B1,demographic_parity_gap,10,0.027258299536604257,0.0015507391832358882,0.0267293962147436,0.02655626046355291,0.02827525543450818,0.0261219908581386,0.0314135314881019
adult_core,joint_dirichlet_0.3,B1,equal_opportunity_gap,10,0.02515966917449563,0.0027082198795711017,0.02460284774064045,0.023707410843166316,0.026884568940354157,0.022477923926585,0.0305000825407234
adult_core,joint_dirichlet_0.3,B1,equalized_odds_gap,10,0.02515966917449563,0.0027082198795711017,0.02460284774064045,0.023746136437245303,0.02683921295563763,0.022477923926585,0.0305000825407234
adult_core,joint_dirichlet_0.3,B1,subgroup_accuracy_gap,10,0.17829030892932704,0.0015596906018812708,0.17874230292413706,0.17725532374080658,0.1790026504541593,0.174082670074553,0.1796614597494983
adult_core,joint_dirichlet_0.3,B1,runtime_ms,10,76.16685430402867,3.34989772049016,75.71966700197663,74.35054348112317,78.24061777180759,71.46066700806841,83.65045901155099
adult_core,joint_dirichlet_0.3,B3,accuracy,10,0.7629349269588314,0.00993074205800953,0.7590637450199202,0.7583798140770253,0.7691434262948207,0.7568393094289508,0.7883134130146082
adult_core,joint_dirichlet_0.3,B3,macro_f1,10,0.4693988104181557,0.04810201453442983,0.45010190839461817,0.44764830175666837,0.5000832234232488,0.4407624830052788,0.5929013382971422
adult_core,joint_dirichlet_0.3,B3,demographic_parity_gap,10,0.012706264923736218,0.019269069527403555,0.00497460383452195,0.00435739750840734,0.024858131367533457,0.0028386704854474,0.0637680443100106
adult_core,joint_dirichlet_0.3,B3,equal_opportunity_gap,10,0.0169180493427873,0.02422464231178478,0.007681713831026249,0.006238536407313585,0.03231557860475896,0.0040002262015673,0.0808173645118301
adult_core,joint_dirichlet_0.3,B3,equalized_odds_gap,10,0.0169180493427873,0.02422464231178478,0.007681713831026249,0.006229511193264636,0.03221104606229334,0.0040002262015673,0.0808173645118301
adult_core,joint_dirichlet_0.3,B3,subgroup_accuracy_gap,10,0.18759991607995077,0.01034114590979088,0.1916029762451258,0.1805420221983735,0.1922334649811219,0.1607183280195937,0.1935353679699382
adult_core,joint_dirichlet_0.3,B3,runtime_ms,10,76.08427910599858,2.5787031033563186,76.20391649834346,74.53864528069971,77.60846412260435,71.23000000137836,80.57383302366361
compas_core,iid,B0,accuracy,10,0.6613636363636364,0.0038018820843892806,0.6616161616161615,0.6590909090909092,0.663510101010101,0.6540404040404041,0.6666666666666666
compas_core,iid,B0,macro_f1,10,0.6448696113233587,0.00551099315734999,0.6450404152711422,0.6415435776427495,0.6479964702232216,0.63519728879206,0.6528507388344679
compas_core,iid,B0,demographic_parity_gap,10,0.1937081161578555,0.01724514436400975,0.1919210722263589,0.18362408254441015,0.2038932693330497,0.170380810552069,0.2165992979470269
compas_core,iid,B0,equal_opportunity_gap,10,0.08120640602055791,0.011031428956629266,0.079444291483113,0.07467878120411153,0.08773403083700433,0.0680295521292216,0.0944612701908956
compas_core,iid,B0,equalized_odds_gap,10,0.2517845575851795,0.0235749429882362,0.2497732866951678,0.23852830677548903,0.2658407824847779,0.2196528047674569,0.2839422204948828
compas_core,iid,B0,subgroup_accuracy_gap,10,0.018907563025210024,0.007352672677694318,0.01880119136262095,0.01470056376981164,0.02332198702265713,0.0088288479948941,0.0298372513562387
compas_core,iid,B0,runtime_ms,10,35.781579100876115,1.4261508042706932,35.37958298693411,35.02894742989156,36.681395827254164,34.50604202225804,38.936166994972154
compas_core,iid,B1,accuracy,10,0.6613636363636364,0.0038018820843892806,0.6616161616161615,0.6589646464646466,0.663510101010101,0.6540404040404041,0.6666666666666666
compas_core,iid,B1,macro_f1,10,0.6448696113233587,0.00551099315734999,0.6450404152711422,0.6414781988186019,0.6480388781063786,0.63519728879206,0.6528507388344679
