suite,client_count,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum
kubo_v2_bounded,5,B7,runtime_ms,3,14487.974000318596,3088.3789608841394,16240.586499974595,10921.993666968774,16301.34183401242,10921.993666968774,16301.34183401242
kubo_v2_bounded,10,B2,accuracy,3,0.7762948207171315,0.008683827263602454,0.7713811420982736,0.7711819389110226,0.7863213811420983,0.7711819389110226,0.7863213811420983
kubo_v2_bounded,10,B2,macro_f1,3,0.5327316793908826,0.042089131838448944,0.5090069108982836,0.5078606110511024,0.581327516223262,0.5078606110511024,0.581327516223262
kubo_v2_bounded,10,B2,demographic_parity_gap,3,0.035132249868181996,0.018804126566469577,0.0246224385113029,0.0239325794396561,0.056841731653587,0.0239325794396561,0.056841731653587
kubo_v2_bounded,10,B2,equal_opportunity_gap,3,0.045037531752473735,0.025349888231954235,0.0312043919661885,0.0296135551860422,0.0742946481051905,0.0296135551860422,0.0742946481051905
kubo_v2_bounded,10,B2,equalized_odds_gap,3,0.045037531752473735,0.025349888231954235,0.0312043919661885,0.0296135551860422,0.0742946481051905,0.0296135551860422,0.0742946481051905
kubo_v2_bounded,10,B2,subgroup_accuracy_gap,3,0.17422611406342633,0.009923609628746697,0.1798070500824928,0.1627685881374448,0.18010270397034142,0.1627685881374448,0.1801027039703414
kubo_v2_bounded,10,B2,runtime_ms,3,13520.534542001164,468.86423089862865,13641.72445901204,13002.97304202104,13916.90612497041,13002.97304202104,13916.90612497041
kubo_v2_bounded,10,B4,accuracy,3,0.7623284639220894,0.0024989511487729637,0.7614873837981407,0.7603585657370516,0.7651394422310757,0.7603585657370517,0.7651394422310757
kubo_v2_bounded,10,B4,macro_f1,3,0.46589604693147274,0.01185833222450541,0.4620353669139109,0.4564491550494007,0.4792036188311067,0.4564491550494007,0.4792036188311067
kubo_v2_bounded,10,B4,demographic_parity_gap,3,0.008893701157340133,0.003812245054767673,0.0076889668945676,0.005829370336252399,0.0131627662412004,0.0058293703362524,0.0131627662412004
kubo_v2_bounded,10,B4,equal_opportunity_gap,3,0.0071594319294174666,0.005645982550255582,0.0052049209122777,0.0027504054206121,0.0135229694553626,0.0027504054206121,0.0135229694553626
kubo_v2_bounded,10,B4,equalized_odds_gap,3,0.0071594319294174666,0.005645982550255582,0.0052049209122777,0.0027504054206121,0.0135229694553626,0.0027504054206121,0.0135229694553626
kubo_v2_bounded,10,B4,subgroup_accuracy_gap,3,0.18931566880086145,0.0026218697884364244,0.1902618922960106,0.1863520356198444,0.1913330784867294,0.1863520356198444,0.1913330784867294
kubo_v2_bounded,10,B4,runtime_ms,3,25452.150986006018,2955.723655917072,25943.925832980312,22281.384000030812,28131.14312500693,22281.384000030812,28131.14312500693
kubo_v2_bounded,10,B7,accuracy,3,0.7606463036741921,0.0033624997985718494,0.7598273572377158,0.7577689243027889,0.7643426294820718,0.7577689243027889,0.7643426294820718
kubo_v2_bounded,10,B7,macro_f1,3,0.4594062081168387,0.01768778038502207,0.4545068962762648,0.4446845177717515,0.4790272103024999,0.4446845177717515,0.4790272103024999
kubo_v2_bounded,10,B7,demographic_parity_gap,3,0.0060863900299226,0.0018397104374568477,0.0061443413211903,0.004218388628741,0.0078964401398365,0.004218388628741,0.0078964401398365
kubo_v2_bounded,10,B7,equal_opportunity_gap,3,0.0095295978467438,0.002400733790603134,0.0102042040360985,0.0068637324058307,0.0115208570983022,0.0068637324058307,0.0115208570983022
kubo_v2_bounded,10,B7,equalized_odds_gap,3,0.0095295978467438,0.002400733790603134,0.0102042040360985,0.0068637324058307,0.0115208570983022,0.0068637324058307,0.0115208570983022
kubo_v2_bounded,10,B7,subgroup_accuracy_gap,3,0.19050323231066582,0.0021009237421411426,0.1912152100936908,0.1881388370116622,0.1921556498266445,0.1881388370116622,0.1921556498266445
kubo_v2_bounded,10,B7,runtime_ms,3,25586.413000011817,3312.25368807522,26375.57062500855,21950.854833004996,28432.813542021904,21950.854833004996,28432.813542021904
