suite,partition,method,metric,client_count,policy_profile,attack_type,n,mean,ci95_low,ci95_high
scaling,,B5,equal_opportunity_gap,10.0,,,5,0.00294541858999876,6.363347120584e-05,0.00724541898985
scaling,,B5,equalized_odds_gap,10.0,,,5,0.00294541858999876,6.363347120584e-05,0.00724541898985
scaling,,B5,subgroup_accuracy_gap,10.0,,,5,0.19491122269381383,0.1923206655768988,0.1963543281961957
scaling,,B5,runtime_ms,10.0,,,5,79.30303321918473,75.70594160351902,83.95949142286554
scaling,,B6,accuracy,10.0,,,5,0.792788844621514,0.7748472775564409,0.8103054448871182
scaling,,B6,macro_f1,10.0,,,5,0.6160198649204706,0.5253184130155933,0.6918494068837683
scaling,,B6,demographic_parity_gap,10.0,,,5,0.096907673763958,0.04137068263632276,0.16414780078660898
scaling,,B6,equal_opportunity_gap,10.0,,,5,0.11791213668515307,0.0524948719076503,0.18968909280033538
scaling,,B6,equalized_odds_gap,10.0,,,5,0.11791213668515307,0.05215808290744408,0.18968909280033538
scaling,,B6,subgroup_accuracy_gap,10.0,,,5,0.15353220341621351,0.1336097129172465,0.17460354165635705
scaling,,B6,runtime_ms,10.0,,,5,56.76957459654659,52.764741401188076,61.76269939169288
scaling,,B0,accuracy,20.0,,,5,0.770066401062417,0.7653120849933599,0.7733622177954848
scaling,,B0,macro_f1,20.0,,,5,0.5031923217814016,0.48102165963471577,0.5192552670770864
scaling,,B0,demographic_parity_gap,20.0,,,5,0.02213508243395658,0.01452277412530402,0.026798578702958605
scaling,,B0,equal_opportunity_gap,20.0,,,5,0.024754676974451197,0.01500938793625912,0.0322679963053744
scaling,,B0,equalized_odds_gap,20.0,,,5,0.024754676974451197,0.01500938793625912,0.0322679963053744
scaling,,B0,subgroup_accuracy_gap,20.0,,,5,0.18145627282208202,0.17873328827882876,0.18603538366633318
scaling,,B0,runtime_ms,20.0,,,5,77.53382481168956,71.25279981410131,83.8148498092778
scaling,,B5,accuracy,20.0,,,5,0.7579946879150066,0.7543293492695884,0.7629747675962815
scaling,,B5,macro_f1,20.0,,,5,0.44741811627077255,0.4301403681103083,0.47086499019153916
scaling,,B5,demographic_parity_gap,20.0,,,5,0.0025840097643813403,2.228587213512e-05,0.00649068102516054
scaling,,B5,equal_opportunity_gap,20.0,,,5,0.00643554883297696,0.00023179948487732,0.01345727960627216
scaling,,B5,equalized_odds_gap,20.0,,,5,0.00643554883297696,0.00023179948487732,0.01345727960627216
scaling,,B5,subgroup_accuracy_gap,20.0,,,5,0.19387480727785572,0.19047108662843457,0.1963543281961957
scaling,,B5,runtime_ms,20.0,,,5,118.37695820722729,110.65981680294499,126.23824961483479
scaling,,B6,accuracy,20.0,,,5,0.7746613545816733,0.7663479415670651,0.7840239043824702
scaling,,B6,macro_f1,20.0,,,5,0.5270688928067526,0.4860140033239729,0.5735636889629545
scaling,,B6,demographic_parity_gap,20.0,,,5,0.03081113493642234,0.01650746443322238,0.0481357813798869
scaling,,B6,equal_opportunity_gap,20.0,,,5,0.03207766710783584,0.01917732317863464,0.04825987589759464
scaling,,B6,equalized_odds_gap,20.0,,,5,0.03207766710783584,0.019245526378472884,0.04939613892203526
scaling,,B6,subgroup_accuracy_gap,20.0,,,5,0.17530112756683947,0.16359888631619568,0.18460039816488774
scaling,,B6,runtime_ms,20.0,,,5,88.98807460209355,70.01128301490098,120.42225798359141
scaling,,B0,accuracy,50.0,,,5,0.7721646746347941,0.7714475431606905,0.7731474103585657
scaling,,B0,macro_f1,50.0,,,5,0.5130369857431327,0.5096599401861763,0.517356846693448
scaling,,B0,demographic_parity_gap,50.0,,,5,0.02529723706737898,0.02470424832310842,0.026098417179530882
scaling,,B0,equal_opportunity_gap,50.0,,,5,0.02919553925939546,0.025414088816103197,0.03266796180392318
scaling,,B0,equalized_odds_gap,50.0,,,5,0.02919553925939546,0.025414088816103197,0.03266796180392318
scaling,,B0,subgroup_accuracy_gap,50.0,,,5,0.17918791204666928,0.17892316551416343,0.17952466742147105
scaling,,B0,runtime_ms,50.0,,,5,130.6465002009645,124.28011659067124,136.7654666188173
scaling,,B5,accuracy,50.0,,,5,0.7541965471447544,0.7540637450199204,0.7543160690571049
scaling,,B5,macro_f1,50.0,,,5,0.4299384474705724,0.4298952884540993,0.4299772899318698
scaling,,B5,demographic_parity_gap,50.0,,,5,0.00012470058750252002,0.0,0.00029010949985748004
scaling,,B5,equal_opportunity_gap,50.0,,,5,0.0,0.0,0.0
scaling,,B5,equalized_odds_gap,50.0,,,5,0.00011534796592684001,0.0,0.000276609614131
scaling,,B5,subgroup_accuracy_gap,50.0,,,5,0.19624933786788307,0.19608392895552812,0.1963740384553856
scaling,,B5,runtime_ms,50.0,,,5,220.09674997534603,207.87730818847194,235.73785836342722
scaling,,B6,accuracy,50.0,,,5,0.7749003984063745,0.7668260292164675,0.7890172642762284
scaling,,B6,macro_f1,50.0,,,5,0.526519332902497,0.4887433839888001,0.5914364767530003
scaling,,B6,demographic_parity_gap,50.0,,,5,0.03616084349799446,0.01866192855518482,0.0677719790602667
scaling,,B6,equal_opportunity_gap,50.0,,,5,0.0499357096303032,0.028263200375174678,0.08858544621400832
scaling,,B6,equalized_odds_gap,50.0,,,5,0.0499357096303032,0.028263200375174678,0.08858544621400832
scaling,,B6,subgroup_accuracy_gap,50.0,,,5,0.17367755263653195,0.1565923364963692,0.18324464686230266
scaling,,B6,runtime_ms,50.0,,,5,132.07980840234086,123.04309159517288,141.11652520950884
heterogeneity,iid,B0,accuracy,,,,10,0.7744023904382471,0.7742695883134132,0.7745285524568393
heterogeneity,iid,B0,macro_f1,,,,10,0.5232109916885747,0.5226801022147078,0.5237486876124997
heterogeneity,iid,B0,demographic_parity_gap,,,,10,0.027768190662596635,0.027570444167461274,0.027966581060968325
heterogeneity,iid,B0,equal_opportunity_gap,,,,10,0.02610737377124277,0.02525060677427992,0.02678460755456109
heterogeneity,iid,B0,equalized_odds_gap,,,,10,0.02610737377124277,0.02523015723865003,0.026773240354588057
heterogeneity,iid,B0,subgroup_accuracy_gap,,,,10,0.1778605466465669,0.17765294502183657,0.1780694360777699
heterogeneity,iid,B0,runtime_ms,,,,10,84.6041084965691,82.63981106414576,86.460871402669
heterogeneity,iid,B3,accuracy,,,,10,0.7744023904382471,0.7742762284196547,0.7745285524568393
heterogeneity,iid,B3,macro_f1,,,,10,0.5232109916885747,0.5226992582801111,0.5237522893977216
heterogeneity,iid,B3,demographic_parity_gap,,,,10,0.027768190662596635,0.027573019780406483,0.02797387667519897
heterogeneity,iid,B3,equal_opportunity_gap,,,,10,0.02610737377124277,0.02521879003867699,0.02678460755456109
heterogeneity,iid,B3,equalized_odds_gap,,,,10,0.02610737377124277,0.025252891638596113,0.026793689890217944
heterogeneity,iid,B3,subgroup_accuracy_gap,,,,10,0.1778605466465669,0.17765294502183657,0.17806879217453359
heterogeneity,iid,B3,runtime_ms,,,,10,83.14037089585327,81.77357177861268,84.46116046790848
heterogeneity,joint_dirichlet_0.3,B0,accuracy,,,,10,0.7735524568393094,0.773074369189907,0.7743227091633467
heterogeneity,joint_dirichlet_0.3,B0,macro_f1,,,,10,0.5196214762875733,0.5175108491203146,0.5231038100890801
heterogeneity,joint_dirichlet_0.3,B0,demographic_parity_gap,,,,10,0.02717242972433053,0.026448945263430702,0.028411153118163564
heterogeneity,joint_dirichlet_0.3,B0,equal_opportunity_gap,,,,10,0.027970794864310422,0.026475408290972845,0.029550434381267247
heterogeneity,joint_dirichlet_0.3,B0,equalized_odds_gap,,,,10,0.027970794864310422,0.02647312342665666,0.02956163164445677
heterogeneity,joint_dirichlet_0.3,B0,subgroup_accuracy_gap,,,,10,0.1783667709341918,0.17766167673084746,0.17885566399452163
heterogeneity,joint_dirichlet_0.3,B0,runtime_ms,,,,10,83.32286688964814,81.8884278301266,84.66416373921675
heterogeneity,joint_dirichlet_0.3,B3,accuracy,,,,10,0.7643691899070386,0.761042496679947,0.7679948539176628
heterogeneity,joint_dirichlet_0.3,B3,macro_f1,,,,10,0.4758016534484198,0.46007807410271007,0.4923883380398197
heterogeneity,joint_dirichlet_0.3,B3,demographic_parity_gap,,,,10,0.013229427276555433,0.008164355037332165,0.01900828831844583
heterogeneity,joint_dirichlet_0.3,B3,equal_opportunity_gap,,,,10,0.01596366151791528,0.009638642996233923,0.023105004938162928
heterogeneity,joint_dirichlet_0.3,B3,equalized_odds_gap,,,,10,0.01596366151791528,0.009720553953929092,0.023354512121490742
heterogeneity,joint_dirichlet_0.3,B3,subgroup_accuracy_gap,,,,10,0.18673999835232982,0.18313307016613561,0.18999997703211188
heterogeneity,joint_dirichlet_0.3,B3,runtime_ms,,,,10,83.76446669572033,81.69569506469998,85.8434326366114
heterogeneity,joint_dirichlet_1.0,B0,accuracy,,,,10,0.7738114209827358,0.773585657370518,0.7740373505976097
heterogeneity,joint_dirichlet_1.0,B0,macro_f1,,,,10,0.5208375738935953,0.519958653590986,0.5217350018294553
heterogeneity,joint_dirichlet_1.0,B0,demographic_parity_gap,,,,10,0.027178618015557987,0.026915105129439464,0.02742499625543183
heterogeneity,joint_dirichlet_1.0,B0,equal_opportunity_gap,,,,10,0.026032315978455962,0.024800602747206562,0.02721873034659674
heterogeneity,joint_dirichlet_1.0,B0,equalized_odds_gap,,,,10,0.026032315978455962,0.024791407596374083,0.02721176293847255
heterogeneity,joint_dirichlet_1.0,B0,subgroup_accuracy_gap,,,,10,0.1783751416762638,0.1781675400515335,0.17859923404400252
heterogeneity,joint_dirichlet_1.0,B0,runtime_ms,,,,10,83.8416330923792,81.91615231524338,85.93783688906115
heterogeneity,joint_dirichlet_1.0,B3,accuracy,,,,10,0.7649269588313412,0.7625564409030544,0.7675896414342629
heterogeneity,joint_dirichlet_1.0,B3,macro_f1,,,,10,0.478102591854426,0.4667708208776538,0.4908048070723531
heterogeneity,joint_dirichlet_1.0,B3,demographic_parity_gap,,,,10,0.01339780496395633,0.009451087284774564,0.01788681574223453
heterogeneity,joint_dirichlet_1.0,B3,equal_opportunity_gap,,,,10,0.014872867293366832,0.00981372215250209,0.02064323500229339
heterogeneity,joint_dirichlet_1.0,B3,equalized_odds_gap,,,,10,0.014872867293366832,0.009804695510412945,0.020625298817411312
heterogeneity,joint_dirichlet_1.0,B3,subgroup_accuracy_gap,,,,10,0.18645593472273467,0.18385547418348194,0.18882436337678177
heterogeneity,joint_dirichlet_1.0,B3,runtime_ms,,,,10,83.14681660849601,82.06067949198768,84.29285577643896
threshold,,B3,accuracy,,lenient,,10,0.7651859229747675,0.761925464807437,0.7683467795484729
threshold,,B3,macro_f1,,lenient,,10,0.47957479377084605,0.4644608506359123,0.49496979271145114
threshold,,B3,demographic_parity_gap,,lenient,,10,0.01447330189627893,0.009159924621999172,0.02011850186544378
threshold,,B3,equal_opportunity_gap,,lenient,,10,0.01776590536891701,0.010442859541964632,0.025977363563611442
threshold,,B3,equalized_odds_gap,,lenient,,10,0.01776590536891701,0.010318161643868451,0.025879457127662774
threshold,,B3,subgroup_accuracy_gap,,lenient,,10,0.18595074750044685,0.1826334381137077,0.1891215982376388
threshold,,B3,runtime_ms,,lenient,,10,71.92225419275928,69.28228371427394,74.93678937331424
