suite,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count,policy_profile,attack_type
scaling,,B6,macro_f1,5,0.5270688928067526,0.05267891690592791,0.5235932552474813,0.4860140033239729,0.5735636889629545,0.4609543527163418,0.6085210183603547,20.0,,
scaling,,B6,demographic_parity_gap,5,0.03081113493642234,0.01952990394581947,0.0274501967425276,0.01650746443322238,0.0481357813798869,0.0085031333916162,0.0623362723069594,20.0,,
scaling,,B6,equal_opportunity_gap,5,0.03207766710783584,0.01867101893990207,0.026523276198397,0.01917732317863464,0.04825987589759464,0.0123862494580587,0.0627509423637264,20.0,,
scaling,,B6,equalized_odds_gap,5,0.03207766710783584,0.01867101893990207,0.026523276198397,0.019245526378472884,0.04939613892203526,0.0123862494580587,0.0627509423637264,20.0,,
scaling,,B6,subgroup_accuracy_gap,5,0.17530112756683947,0.012837653979944234,0.1775854435021948,0.16359888631619568,0.18460039816488774,0.1542609815239689,0.1894477257989619,20.0,,
scaling,,B6,runtime_ms,5,88.98807460209355,35.07217926732722,74.57033300306648,70.01128301490098,120.42225798359141,67.33816600171849,150.99020797060803,20.0,,
scaling,,B0,accuracy,5,0.7721646746347941,0.0010741795731071917,0.7717131474103586,0.7714475431606905,0.7731474103585657,0.7711819389110226,0.7739043824701195,50.0,,
scaling,,B0,macro_f1,5,0.5130369857431327,0.00504472534810545,0.5106378232876764,0.5096599401861763,0.517356846693448,0.5086815241056082,0.5211932713776234,50.0,,
scaling,,B0,demographic_parity_gap,5,0.02529723706737898,0.0008881811030409527,0.0250572436997829,0.02470424832310842,0.026098417179530882,0.0244188968870407,0.0267925328326962,50.0,,
scaling,,B0,equal_opportunity_gap,5,0.02919553925939546,0.004612531186445404,0.0308862246101593,0.025414088816103197,0.03266796180392318,0.0227052679260457,0.0334315634583934,50.0,,
scaling,,B0,equalized_odds_gap,5,0.02919553925939546,0.004612531186445404,0.0308862246101593,0.025414088816103197,0.03266796180392318,0.0227052679260457,0.0334315634583934,50.0,,
scaling,,B0,subgroup_accuracy_gap,5,0.17918791204666928,0.000379144792321859,0.1791365081079353,0.17892316551416343,0.17952466742147105,0.1787809371183155,0.1798006110501298,50.0,,
scaling,,B0,runtime_ms,5,130.6465002009645,8.046418624483307,132.12195900268853,124.28011659067124,136.7654666188173,120.00937497941776,141.36308303568512,50.0,,
scaling,,B5,accuracy,5,0.7541965471447544,0.00016533731205829296,0.7543160690571049,0.7540637450199204,0.7543160690571049,0.7539840637450199,0.7543160690571049,50.0,,
scaling,,B5,macro_f1,5,0.4299384474705724,5.3731820424642744e-05,0.4299772899318698,0.4298952884540993,0.4299772899318698,0.4298693923906871,0.4299772899318698,50.0,,
scaling,,B5,demographic_parity_gap,5,0.00012470058750252002,0.0001852979832119738,0.0,0.0,0.00029010949985748004,0.0,0.0004135222808874,50.0,,
scaling,,B5,equal_opportunity_gap,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,
scaling,,B5,equalized_odds_gap,5,0.00011534796592684001,0.0001775805993621132,0.0,0.0,0.000276609614131,0.0,0.0004031541205104,50.0,,
scaling,,B5,subgroup_accuracy_gap,5,0.19624933786788307,0.00018529798321197195,0.1963740384553856,0.19608392895552812,0.1963740384553856,0.1959605161744982,0.1963740384553856,50.0,,
scaling,,B5,runtime_ms,5,220.09674997534603,17.83492296614139,210.28720895992592,207.87730818847194,235.73785836342722,206.4517909893766,248.25133295962587,50.0,,
scaling,,B6,accuracy,5,0.7749003984063745,0.01550859324585212,0.7688579017264277,0.7668260292164675,0.7890172642762284,0.7654714475431607,0.8024568393094289,50.0,,
