scenario_id,seed,client_count,partition,method,round,client_id,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,3,1960,490,True,False,0.9857142857142858,0.49640287769784175,,,,,"comparison_groups,subgroup_accuracy_gap",1.262584002688527
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,4,282,71,True,False,0.9295774647887324,0.8136482939632546,,,,,"comparison_groups,subgroup_accuracy_gap",0.7595409988425672
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,5,3128,782,True,True,0.9104859335038363,0.4904304438486744,0.0012987012987012987,0.016666666666666666,0.016666666666666666,0.84004329004329,,1.6571669839322567
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,6,76,20,True,False,0.9,0.47368421052631576,,,,,"comparison_groups,subgroup_accuracy_gap",0.7658750109840184
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,7,1231,308,True,True,0.9512987012987013,0.4875207986688852,0.004016064257028112,0.0,0.004048582995951417,0.1913416377373902,,1.0900000052060932
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,8,1238,310,True,True,0.9032258064516129,0.5332262597871913,0.01795125164690382,0.00784313725490196,0.00784313725490196,0.29479578392621875,,1.114749989937991
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,9,1860,466,True,False,0.7446351931330472,0.731518734234823,0.43005780346820804,0.12464985994397759,0.12464985994397759,0.10823699421965316,,1.3144580007065088
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,10,460,116,True,True,0.75,0.4877417389980204,0.07142857142857142,0.09090909090909091,0.09090909090909091,0.612012987012987,,0.8582920127082616
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,11,352,88,True,True,0.6477272727272727,0.5229935303374715,0.10256410256410256,0.1935483870967742,0.1935483870967742,0.05384615384615388,,0.8045830181799829
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,12,417,105,True,False,0.8952380952380953,0.8333092798383606,0.4789325842696629,0.21071428571428574,0.21071428571428574,0.0976123595505618,,0.8276670123450458
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,13,51,13,True,False,0.6923076923076923,0.4090909090909091,,,,,"comparison_groups,subgroup_accuracy_gap",0.6722499965690076
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,14,2273,569,True,False,0.9982425307557118,0.4995602462620932,,,,,"comparison_groups,subgroup_accuracy_gap",1.503292005509138
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,15,251,63,True,False,0.9365079365079365,0.7330508474576272,,,,,"comparison_groups,subgroup_accuracy_gap",0.7429170073010027
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,16,444,111,True,True,0.954954954954955,0.48847926267281105,0.0,,,0.2941176470588235,"equal_opportunity_gap,equalized_odds_gap",0.8257080044131726
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,17,250,63,True,False,0.6031746031746031,0.5995423340961098,0.09207161125319696,0.028571428571428525,0.09523809523809523,0.10102301790281332,,0.7144999981392175
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,18,392,98,True,True,0.9897959183673469,0.49743589743589745,0.0,,,0.014705882352941124,"equal_opportunity_gap,equalized_odds_gap",0.8664170163683593
client_scaling,5002,20,joint_dirichlet_0.3,B0,3,19,287,72,True,False,0.7361111111111112,0.7272183449651046,0.4969040247678018,,,0.44427244582043346,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",0.7795839919708669
client_scaling,5003,3,joint_dirichlet_0.3,B0,1,0,12068,3017,True,True,0.7974809413324494,0.4930241512412525,0.01771255060728745,0.05619834710743802,0.05619834710743802,0.2520097072652814,,4.057708021719009
client_scaling,5003,3,joint_dirichlet_0.3,B0,1,1,3320,830,True,True,0.7650602409638554,0.7392791959779568,0.15470736140387553,0.12209424083769638,0.12209424083769638,0.04549704138575805,,1.705125003354624
client_scaling,5003,3,joint_dirichlet_0.3,B0,1,2,5121,1281,True,True,0.7829820452771272,0.4927094017094017,0.01855287569573284,,,0.2578849721706865,"equal_opportunity_gap,equalized_odds_gap",2.1812090126331896
client_scaling,5003,3,joint_dirichlet_0.3,B0,2,0,12068,3017,True,True,0.799469671859463,0.5056125208659883,0.02231873743325283,0.07107438016528926,0.07107438016528926,0.24750658235035605,,3.601125004934147
client_scaling,5003,3,joint_dirichlet_0.3,B0,2,1,3320,830,True,True,0.6819277108433734,0.5941500711237554,0.06745872747649659,0.06652705061082023,0.06652705061082023,0.06396878211940149,,1.609915983863175
client_scaling,5003,3,joint_dirichlet_0.3,B0,2,2,5121,1281,True,True,0.7837626854020296,0.5040830616183822,0.019192630030068453,,,0.25110357622672896,"equal_opportunity_gap,equalized_odds_gap",2.090833004331216
client_scaling,5003,3,joint_dirichlet_0.3,B0,3,0,12068,3017,True,True,0.799469671859463,0.5105378818046399,0.026367320429204248,0.07768595041322314,0.07768595041322314,0.24750658235035605,,3.3932499936781824
client_scaling,5003,3,joint_dirichlet_0.3,B0,3,1,3320,830,True,True,0.6542168674698795,0.5344360208654592,0.05459644966290961,0.0694240837696335,0.0694240837696335,0.06691287911781607,,1.5637500036973506
client_scaling,5003,3,joint_dirichlet_0.3,B0,3,2,5121,1281,True,True,0.7853239656518345,0.5128920612225991,0.02290320516921502,,,0.24924828865715565,"equal_opportunity_gap,equalized_odds_gap",2.2465000220108777
client_scaling,5003,5,joint_dirichlet_0.3,B0,1,0,3985,997,True,True,0.950852557673019,0.48740359897172236,0.0,0.0,0.0,0.9740547707218946,,2.006833004998043
client_scaling,5003,5,joint_dirichlet_0.3,B0,1,1,1404,351,True,True,0.7806267806267806,0.539456419868791,0.10805117205454266,0.12195121951219512,0.12195121951219512,0.6792937030795159,,1.1145829921588302
client_scaling,5003,5,joint_dirichlet_0.3,B0,1,2,4745,1187,True,True,0.8298230834035384,0.5211798066938254,0.06144403379091867,0.0,0.039663461538461564,0.7111008447729672,,2.2389589867088944
client_scaling,5003,5,joint_dirichlet_0.3,B0,1,3,9668,2417,True,True,0.9743483657426562,0.4935037720033529,0.0,,,0.40522875816993464,"equal_opportunity_gap,equalized_odds_gap",3.174290992319584
client_scaling,5003,5,joint_dirichlet_0.3,B0,1,4,706,177,True,True,0.6610169491525424,0.42780172413793105,0.006644085461177673,0.013157894736842146,,0.571000521104742,"equalized_odds_gap,false_positive_rate_gap",0.8815409964881837
client_scaling,5003,5,joint_dirichlet_0.3,B0,2,0,3985,997,True,True,0.9518555667001003,0.5076543209876543,0.021739130434782608,0.022222222222222223,0.022222222222222223,0.952315640287112,,1.9853330159094185
client_scaling,5003,5,joint_dirichlet_0.3,B0,2,1,1404,351,True,True,0.7749287749287749,0.5012859480944587,0.06542056074766354,0.07317073170731707,0.07317073170731707,0.7114294469128237,,1.0574999905657023
client_scaling,5003,5,joint_dirichlet_0.3,B0,2,2,4745,1187,True,False,0.9081718618365627,0.8266510176547115,0.4787090813093981,0.040784473398479903,0.16346153846153844,0.27659714889123543,,2.0080420072190464
client_scaling,5003,5,joint_dirichlet_0.3,B0,2,3,9668,2417,True,True,0.9743483657426562,0.4935037720033529,0.0,,,0.40522875816993464,"equal_opportunity_gap,equalized_odds_gap",3.042041993467137
client_scaling,5003,5,joint_dirichlet_0.3,B0,2,4,706,177,True,False,0.768361581920904,0.7583657976226151,0.40007816571130794,0.10131578947368414,,0.013939551849921794,"equalized_odds_gap,false_positive_rate_gap",1.0861250048037618
client_scaling,5003,5,joint_dirichlet_0.3,B0,3,0,3985,997,True,True,0.9538615847542627,0.5458488473421532,0.06521739130434782,0.06666666666666667,0.06666666666666667,0.9088373794175468,,1.8302909738849849
client_scaling,5003,5,joint_dirichlet_0.3,B0,3,1,1404,351,True,True,0.7749287749287749,0.5012859480944587,0.06542056074766354,0.07317073170731707,0.07317073170731707,0.7114294469128237,,1.0682910215109587
client_scaling,5003,5,joint_dirichlet_0.3,B0,3,2,4745,1187,True,False,0.8500421229991575,0.7914929815420081,0.6176038366772263,0.2097584147665581,0.2097584147665581,0.015720696937697953,,2.0380000059958547
client_scaling,5003,5,joint_dirichlet_0.3,B0,3,3,9668,2417,True,True,0.9739346297062474,0.4933976105638231,0.00044169611307420494,,,0.40478706205686044,"equal_opportunity_gap,equalized_odds_gap",3.2160830160137266
client_scaling,5003,5,joint_dirichlet_0.3,B0,3,4,706,177,True,False,0.6440677966101694,0.6438859259732379,0.3018499218342887,0.08947368421052632,,0.18329859301719642,"equalized_odds_gap,false_positive_rate_gap",0.9727079886943102
client_scaling,5003,10,joint_dirichlet_0.3,B0,1,0,1895,474,True,True,0.79957805907173,0.49959438585573474,0.018666666666666668,0.06060606060606061,0.06060606060606061,0.24056565656565665,,1.3629169843625277
client_scaling,5003,10,joint_dirichlet_0.3,B0,1,1,999,250,True,True,0.928,0.53125,0.025,0.06666666666666667,0.06666666666666667,0.3309523809523809,,0.9347079903818667
client_scaling,5003,10,joint_dirichlet_0.3,B0,1,2,234,59,True,True,0.7796610169491526,0.4380952380952381,0.0,0.0,0.0,0.26036866359447,,0.6676250195596367
client_scaling,5003,10,joint_dirichlet_0.3,B0,1,3,2359,590,True,True,0.8966101694915254,0.4727435210008937,0.0,0.0,0.0,0.843098085100311,,1.342542003840208
client_scaling,5003,10,joint_dirichlet_0.3,B0,1,4,2321,581,True,False,0.9982788296041308,0.49956933677863913,,,,,"comparison_groups,subgroup_accuracy_gap",1.3997080095577985
client_scaling,5003,10,joint_dirichlet_0.3,B0,1,5,1315,329,True,False,0.8693009118541033,0.46504065040650405,,,,,"comparison_groups,subgroup_accuracy_gap",1.2265410041436553
client_scaling,5003,10,joint_dirichlet_0.3,B0,1,6,1787,447,True,True,0.8926174496644296,0.526984126984127,0.028639033942558748,0.2074468085106383,0.2074468085106383,0.6952921018276762,,1.2138749880250543
client_scaling,5003,10,joint_dirichlet_0.3,B0,1,7,89,23,True,False,0.6956521739130435,0.6247086247086246,,,,,"comparison_groups,subgroup_accuracy_gap",0.6263329996727407
client_scaling,5003,10,joint_dirichlet_0.3,B0,1,8,2673,669,True,True,0.7458893871449925,0.5506164058795637,0.04588654223968566,0.01739886907351021,0.01739886907351021,0.19996316306483297,,1.4556249952875078
client_scaling,5003,10,joint_dirichlet_0.3,B0,1,9,6834,1709,True,False,0.8970157987126974,0.896610514390052,0.792524498724724,0.5408748114630468,0.5408748114630468,0.016818302608905267,,2.6232500094920397
client_scaling,5003,10,joint_dirichlet_0.3,B0,2,0,1895,474,True,True,0.8080168776371308,0.5357292776647615,0.029333333333333333,0.10101010101010101,0.10101010101010101,0.22989898989898994,,1.2057919811923057
client_scaling,5003,10,joint_dirichlet_0.3,B0,2,1,999,250,True,True,0.928,0.53125,0.025,0.06666666666666667,0.06666666666666667,0.3309523809523809,,0.9134169958997518
client_scaling,5003,10,joint_dirichlet_0.3,B0,2,2,234,59,True,True,0.7966101694915254,0.5137362637362637,0.03571428571428571,0.1,0.1,0.22465437788018428,,0.6529169913846999
client_scaling,5003,10,joint_dirichlet_0.3,B0,2,3,2359,590,True,True,0.8966101694915254,0.4727435210008937,0.0,0.0,0.0,0.843098085100311,,1.34862499544397
client_scaling,5003,10,joint_dirichlet_0.3,B0,2,4,2321,581,True,False,0.9982788296041308,0.49956933677863913,,,,,"comparison_groups,subgroup_accuracy_gap",1.2923750036861748
client_scaling,5003,10,joint_dirichlet_0.3,B0,2,5,1315,329,True,False,0.8693009118541033,0.46504065040650405,,,,,"comparison_groups,subgroup_accuracy_gap",0.9953340049833059
client_scaling,5003,10,joint_dirichlet_0.3,B0,2,6,1787,447,True,True,0.8948545861297539,0.5447177375663669,0.04426403394255875,0.18617021276595747,0.18617021276595747,0.6796671018276762,,1.266083010705188
client_scaling,5003,10,joint_dirichlet_0.3,B0,2,7,89,23,True,False,0.6521739130434783,0.6461538461538461,,,,,"comparison_groups,subgroup_accuracy_gap",0.8013749902602285
client_scaling,5003,10,joint_dirichlet_0.3,B0,2,8,2673,669,True,True,0.7309417040358744,0.5067988204456094,0.016245088408644397,0.028490648107872996,0.028490648107872996,0.2296046168958742,,1.4862499956507236
client_scaling,5003,10,joint_dirichlet_0.3,B0,2,9,6834,1709,True,False,0.7595084844938561,0.7364005336545769,0.4573323580416362,0.5176470588235295,0.5176470588235295,0.4102923409466357,,2.549000026192516
client_scaling,5003,10,joint_dirichlet_0.3,B0,3,0,1895,474,True,True,0.8080168776371308,0.5357292776647615,0.029333333333333333,0.10101010101010101,0.10101010101010101,0.22989898989898994,,1.2319579836912453
client_scaling,5003,10,joint_dirichlet_0.3,B0,3,1,999,250,True,True,0.928,0.53125,0.025,0.06666666666666667,0.06666666666666667,0.3309523809523809,,1.1054580099880695
client_scaling,5003,10,joint_dirichlet_0.3,B0,3,2,234,59,True,True,0.7966101694915254,0.5137362637362637,0.03571428571428571,0.1,0.1,0.22465437788018428,,0.6934159900993109
