scenario_id,seed,partition,method,round,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
adult_core,2004,iid,B1,3,10,0,1.0,0.7677348066298343,0.5052257025560422,0.024618310234517823,0.06468189793509957,0.06468189793509957,0.17440385624987187
adult_core,2004,iid,B1,4,10,0,1.0,0.7706077348066298,0.5176132106166071,0.0298252369377825,0.07433516699655954,0.07433516699655954,0.1711596380843894
adult_core,2004,iid,B1,5,10,0,1.0,0.7701657458563536,0.5192692729504486,0.03244218165482535,0.07746342559927069,0.07746342559927069,0.17181387426365002
adult_core,2004,iid,B3,1,10,0,1.0,0.7653038674033149,0.49413431391620916,0.01905730271080176,0.050083357789114165,0.050083357789114165,0.17800215523580576
adult_core,2004,iid,B3,2,10,0,1.0,0.7659668508287293,0.49801167799376267,0.021347129338214255,0.05529712212696609,0.05529712212696609,0.17702080096691475
adult_core,2004,iid,B3,3,10,0,1.0,0.7677348066298343,0.5052257025560422,0.024618310234517823,0.06468189793509957,0.06468189793509957,0.17440385624987187
adult_core,2004,iid,B3,4,10,0,1.0,0.7706077348066298,0.5176132106166071,0.0298252369377825,0.07433516699655954,0.07433516699655954,0.1711596380843894
adult_core,2004,iid,B3,5,10,0,1.0,0.7701657458563536,0.5192692729504486,0.03244218165482535,0.07746342559927069,0.07746342559927069,0.17181387426365002
adult_core,2004,joint_dirichlet_0.3,B0,1,9,1,0.9,0.7646408839779005,0.49164109378614607,0.01908426544162279,0.05398587600606919,0.05398587600606919,0.17797519250498484
adult_core,2004,joint_dirichlet_0.3,B0,2,9,1,0.9,0.7657458563535912,0.4964909201456539,0.020365775069323185,0.05321161639182532,0.05321161639182532,0.177347919056545
adult_core,2004,joint_dirichlet_0.3,B0,3,9,1,0.9,0.7675138121546962,0.5037334407536771,0.023636955965626753,0.0625963921999588,0.0625963921999588,0.17473097433950224
adult_core,2004,joint_dirichlet_0.3,B0,4,9,1,0.9,0.7695027624309392,0.512992457204228,0.02753541031037,0.06807864979113723,0.06807864979113723,0.17279522853254115
adult_core,2004,joint_dirichlet_0.3,B0,5,9,1,0.9,0.7703867403314917,0.5194104914530461,0.03211506356519499,0.07746342559927069,0.07746342559927069,0.17148675617401976
adult_core,2004,joint_dirichlet_0.3,B1,1,9,1,0.9,0.7646408839779005,0.49164109378614607,0.01908426544162279,0.05398587600606919,0.05398587600606919,0.17797519250498484
adult_core,2004,joint_dirichlet_0.3,B1,2,9,1,0.9,0.7657458563535912,0.4964909201456539,0.020365775069323185,0.05321161639182532,0.05321161639182532,0.177347919056545
adult_core,2004,joint_dirichlet_0.3,B1,3,9,1,0.9,0.7675138121546962,0.5037334407536771,0.023636955965626753,0.0625963921999588,0.0625963921999588,0.17473097433950224
adult_core,2004,joint_dirichlet_0.3,B1,4,9,1,0.9,0.7695027624309392,0.512992457204228,0.02753541031037,0.06807864979113723,0.06807864979113723,0.17279522853254115
adult_core,2004,joint_dirichlet_0.3,B1,5,9,1,0.9,0.7703867403314917,0.5194104914530461,0.03211506356519499,0.07746342559927069,0.07746342559927069,0.17148675617401976
adult_core,2004,joint_dirichlet_0.3,B3,1,7,3,0.7,0.7648618784530387,0.49176281223028995,0.019765464351704534,0.05398587600606919,0.05398587600606919,0.1786563914150665
adult_core,2004,joint_dirichlet_0.3,B3,2,7,3,0.7,0.7648618784530387,0.49247343565525387,0.019411383531253146,0.05502862887363957,0.05502862887363957,0.17764807441535446
adult_core,2004,joint_dirichlet_0.3,B3,3,7,3,0.7,0.7664088397790055,0.49895972015052603,0.021347129338214255,0.05633987499453647,0.05633987499453647,0.176366564787654
adult_core,2004,joint_dirichlet_0.3,B3,4,6,4,0.6,0.7666298342541437,0.5004712614166946,0.022328483607105324,0.05842538072967724,0.05842538072967724,0.17603944669802363
adult_core,2004,joint_dirichlet_0.3,B3,5,5,5,0.5,0.7681767955801105,0.506843450035111,0.025272546413778532,0.06676740367024034,0.06676740367024034,0.17374962007061112
adult_core,2005,iid,B0,1,10,0,1.0,0.7648618784530387,0.49247343565525387,0.019411383531253146,0.05502862887363957,0.05502862887363957,0.17764807441535446
adult_core,2005,iid,B0,2,10,0,1.0,0.7661878453038674,0.4981380333472546,0.021020011248583898,0.05529712212696609,0.05529712212696609,0.17669368287728437
adult_core,2005,iid,B0,3,10,0,1.0,0.7679558011049724,0.5053571859875721,0.024291192144887466,0.06468189793509957,0.06468189793509957,0.1740767381602415
adult_core,2005,iid,B0,4,10,0,1.0,0.7706077348066298,0.5169627379629165,0.029171000758521786,0.07329241412898915,0.07329241412898915,0.1711596380843894
adult_core,2005,iid,B0,5,10,0,1.0,0.7701657458563536,0.5186260815058309,0.03178794547556464,0.0764206727317003,0.0764206727317003,0.17181387426365002
