suite,method,metric,n,mean,std,ci95_low,ci95_high,minimum,maximum,client_count,partition,policy_profile,attack_type
adversarial,B6,equalized_odds_gap,5,0.03566387589530974,0.03756440632113463,-0.010978495047541031,0.08230624683816051,0.0047953589836009,0.0852934137072437,,,,label_flip
adversarial,B6,subgroup_accuracy_gap,5,0.1606755335284928,0.056302361507698066,0.0907669182305307,0.2305841488264549,0.0616139573027162,0.1938310218577867,,,,label_flip
adversarial,B6,runtime_ms,5,79.4233335996978,3.1479198490972067,75.51467485384278,83.33199234555282,76.280167006189,83.12520899926312,,,,label_flip
adversarial,B0,accuracy,5,0.7751792828685259,0.0032480234263774816,0.7711463291146705,0.7792122366223813,0.7724435590969455,0.7788844621513944,,,,none
adversarial,B0,macro_f1,5,0.527004502093376,0.01433576535970404,0.5092042983595348,0.5448047058272172,0.5147233069878864,0.544233451409603,,,,none
adversarial,B0,demographic_parity_gap,5,0.03000144166123342,0.005032274787493033,0.023753047228534822,0.036249836093932016,0.0258585321321054,0.0358676569029205,,,,none
adversarial,B0,equal_opportunity_gap,5,0.032500252763114926,0.006615547208069217,0.024285965966437954,0.0407145395597919,0.0264775789120732,0.0401364977942491,,,,none
adversarial,B0,equalized_odds_gap,5,0.032500252763114926,0.006615547208069217,0.024285965966437954,0.0407145395597919,0.0264775789120732,0.0401364977942491,,,,none
adversarial,B0,subgroup_accuracy_gap,5,0.17634498497970327,0.003651368849846641,0.17181121173468603,0.18087875822472052,0.1719937757625234,0.1797406939483586,,,,none
adversarial,B0,runtime_ms,5,82.86353340372443,5.3315544154333,76.2435342316166,89.48353257583227,76.26949998666532,91.11950002261436,,,,none
adversarial,B6,accuracy,5,0.7687782204515272,0.014983366997297328,0.7501739130791087,0.7873825278239457,0.7572377158034529,0.7930278884462152,,,,none
adversarial,B6,macro_f1,5,0.5221285284038968,0.12106891237025495,0.37180161861206484,0.6724554381957287,0.4424467075740961,0.7309271051045844,,,,none
adversarial,B6,demographic_parity_gap,5,0.03725526637123472,0.055078129706092334,-0.031133264373217395,0.10564379711568683,0.0034299782611447,0.1334320959204798,,,,none
adversarial,B6,equal_opportunity_gap,5,0.0157253501697368,0.01624692972050111,-0.0044478775455561725,0.03589857788502977,0.0007871357569269,0.0432267767818942,,,,none
adversarial,B6,equalized_odds_gap,5,0.02518118874241096,0.0189180807899864,0.001691288910374622,0.048671088574447297,0.0076588651878644,0.0480663286202977,,,,none
adversarial,B6,subgroup_accuracy_gap,5,0.1662092900954784,0.04871197199688092,0.10572538818544146,0.22669319200551535,0.0797084205553089,0.1929440601942409,,,,none
adversarial,B6,runtime_ms,5,80.54880860145204,2.5403260358520483,77.39457721903486,83.70303998386922,77.86108402069658,83.50204199086875,,,,none
adversarial,B0,accuracy,5,0.6439442231075697,0.1487693864712003,0.45922263189141815,0.8286658143237213,0.3855245683930943,0.7479415670650731,,,,random_weights
adversarial,B0,macro_f1,5,0.5390674631097035,0.11001549006933788,0.402465189845863,0.6756697363735441,0.3854425311506215,0.6784780510630831,,,,random_weights
adversarial,B0,demographic_parity_gap,5,0.06704631415445138,0.07623005062306878,-0.027605795285463544,0.16169842359436631,0.0133801888947312,0.2000930309791074,,,,random_weights
adversarial,B0,equal_opportunity_gap,5,0.07808763711327955,0.07560713518980287,-0.01579102065922358,0.1719662948857827,0.00116299593694,0.1858874213078449,,,,random_weights
adversarial,B0,equalized_odds_gap,5,0.09184259959633945,0.061255186354008354,0.015784239997304786,0.16790095919537412,0.0268488844627155,0.1858874213078449,,,,random_weights
adversarial,B0,subgroup_accuracy_gap,5,0.1064378829657124,0.031382758405229874,0.06747104168961189,0.1454047242418129,0.0779192521671706,0.1546964085504653,,,,random_weights
adversarial,B0,runtime_ms,5,80.98736699903384,3.2705065979991175,76.92649670041047,85.04823729765721,76.87683400581591,84.29075000458397,,,,random_weights
adversarial,B6,accuracy,5,0.7724568393094289,0.019933893117334355,0.747705641881593,0.7972080367372647,0.7580345285524568,0.8047144754316069,,,,random_weights
adversarial,B6,macro_f1,5,0.5276234672740073,0.11902452586737455,0.3798349986012157,0.6754119359467989,0.4458000865736654,0.7259705145207608,,,,random_weights
adversarial,B6,demographic_parity_gap,5,0.038275590224072474,0.050829112963581786,-0.024837089403439254,0.1013882698515842,0.0046125938125392,0.1230463178453609,,,,random_weights
adversarial,B6,equal_opportunity_gap,5,0.028237952624480783,0.025850150983659715,-0.0038592492000611017,0.06033515444902267,0.009204575897766,0.0689532065500205,,,,random_weights
adversarial,B6,equalized_odds_gap,5,0.028269599319442885,0.025867004826719577,-0.0038485293152578127,0.060387727954143586,0.009204575897766,0.0689532065500205,,,,random_weights
adversarial,B6,subgroup_accuracy_gap,5,0.16751642971261588,0.04223352863106778,0.11507657769431112,0.21995628173092063,0.093478963249995,0.1917614446428464,,,,random_weights
adversarial,B6,runtime_ms,5,79.58420839859173,3.5213049577654867,75.2119308058379,83.95648599134556,75.66850000876002,82.69304101122543,,,,random_weights
adversarial,B0,accuracy,5,0.7714342629482072,0.025967247425043423,0.7391916666880813,0.803676859208333,0.7346613545816733,0.7958831341301461,,,,sign_flip
adversarial,B0,macro_f1,5,0.5842530157740728,0.10168453459266245,0.45799498999625865,0.710511041551887,0.4299772899318698,0.7091277918937449,,,,sign_flip
adversarial,B0,demographic_parity_gap,5,0.1267738957455668,0.1854231417285013,-0.10345934377254731,0.3570071352636809,0.0,0.4550497068224316,,,,sign_flip
adversarial,B0,equal_opportunity_gap,5,0.11085864629786286,0.12971136770421002,-0.05019928913822515,0.2719165817339509,0.0,0.3359076137962392,,,,sign_flip
adversarial,B0,equalized_odds_gap,5,0.11615552889952907,0.14122842716442993,-0.05920272463348608,0.2915137824325442,0.0,0.3623920268045703,,,,sign_flip
adversarial,B0,subgroup_accuracy_gap,5,0.1750759780744729,0.02421537844627988,0.14500861445484775,0.20514334169409804,0.1500876661217693,0.2050029034820542,,,,sign_flip
adversarial,B0,runtime_ms,5,79.52514179632999,2.4536040192555713,76.4785900197723,82.57169357288768,76.58016699133441,81.73700000043027,,,,sign_flip
adversarial,B6,accuracy,5,0.767636122177955,0.010312771214604641,0.7548311254390683,0.7804411189168416,0.7580345285524568,0.7814741035856574,,,,sign_flip
