suite,partition,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count
compas,iid,B1,demographic_parity_gap,10,0.2045713221997659,0.0035915655426930542,0.20499149026699276,0.20235347303478352,0.20657376874800545,0.1975853632592278,0.2092330603127327,
compas,iid,B1,equal_opportunity_gap,10,0.1270213839941262,0.0065691634126060165,0.125298274596182,0.12337457553230535,0.1311087210903083,0.1192868942731277,0.13931718061674,
compas,iid,B1,equalized_odds_gap,10,0.22151509262857877,0.0057692445216163575,0.2195232543075527,0.2182957636999611,0.22513278922140162,0.2154424148205725,0.231571447078637,
compas,iid,B1,subgroup_accuracy_gap,10,0.013926709924476038,0.005688260641744995,0.0122460376555685,0.01066109988299109,0.017298691628550092,0.006967343899585,0.0227635357940644,
compas,iid,B1,runtime_ms,10,43.78714571357705,3.4706735288345034,43.095166503917426,42.0111969653226,46.07569684521877,39.76183303166181,52.207999979145825,
compas,iid,B3,accuracy,10,0.6559343434343434,0.002399359059552052,0.6559343434343434,0.6544191919191918,0.6573232323232323,0.6515151515151515,0.6590909090909091,
compas,iid,B3,macro_f1,10,0.6400109219252823,0.004847017844937502,0.6393574243572766,0.6371354238779375,0.6429727652763597,0.6311729332442446,0.6490871249217267,
compas,iid,B3,demographic_parity_gap,10,0.19768375704712263,0.010884363749607034,0.1956174875013296,0.1913997181150941,0.20408852781618966,0.1830390384001702,0.2122114668652271,
compas,iid,B3,equal_opportunity_gap,10,0.127427496328928,0.0065959136045322915,0.1275123898678414,0.12350633259911895,0.13135101183920703,0.117703744493392,0.1373210352422907,
compas,iid,B3,equalized_odds_gap,10,0.20587511335665237,0.0184366761786468,0.20148335276590223,0.19505764995465727,0.21668618020468966,0.1794273869672237,0.2275553828216089,
compas,iid,B3,subgroup_accuracy_gap,10,0.024877672588022474,0.01174229890090186,0.02751037123710235,0.017827890649930782,0.03161106531220075,0.0059302201893415,0.0427614083608126,
compas,iid,B3,runtime_ms,10,43.322112603345886,3.644319457261116,42.3483960039448,41.334143590793246,45.56647641278686,39.203083026222885,50.51533301593736,
compas,iid,B5,accuracy,10,0.6549242424242424,0.006356472995971893,0.6559343434343434,0.6508838383838385,0.658459595959596,0.6414141414141414,0.6628787878787878,
compas,iid,B5,macro_f1,10,0.6381228431359208,0.010949638805338282,0.6404045299827689,0.6313522170899376,0.6439529932305972,0.6142971788381999,0.6521647588671964,
compas,iid,B5,demographic_parity_gap,10,0.1950670141474311,0.016343365712400963,0.1961360493564514,0.1849323875119668,0.20417249494734604,0.1652749707477928,0.2165727050313797,
compas,iid,B5,equal_opportunity_gap,10,0.12834985315712183,0.012083683786214794,0.12270558002936854,0.12174645512114535,0.13595591272026428,0.1141015051395007,0.1525330396475771,
compas,iid,B5,equalized_odds_gap,10,0.199452649306905,0.02454759044701901,0.20737789869154036,0.18386772898043788,0.21310087122684285,0.1514121000129551,0.2356198989506412,
compas,iid,B5,subgroup_accuracy_gap,10,0.029191043506009935,0.015699252873434467,0.0248909690458461,0.02066801404105942,0.03886554621848732,0.0132964578236357,0.0595681310498882,
compas,iid,B5,runtime_ms,10,75.83578749909066,5.987423079441924,74.81716645997949,72.69826985051623,79.8028235170932,68.30904196249321,89.66604102170095,
compas,joint_dirichlet_0.3,B0,accuracy,10,0.6462121212121212,0.020050639334404628,0.6559343434343434,0.6327020202020203,0.6559343434343434,0.5959595959595959,0.6590909090909091,
compas,joint_dirichlet_0.3,B0,macro_f1,10,0.6277380000463528,0.027144824920469712,0.6423158754894681,0.610443891749747,0.6424336381370391,0.5744652271735116,0.6540286117267782,
compas,joint_dirichlet_0.3,B0,demographic_parity_gap,10,0.20151579619189444,0.02589561329714132,0.2076374853738963,0.18559721040314855,0.21612062546537594,0.1589990426550367,0.2425273907031166,
compas,joint_dirichlet_0.3,B0,equal_opportunity_gap,10,0.14158865638766518,0.04625784219363206,0.1301050844346549,0.11858371191262848,0.172111325256975,0.0880827826725404,0.2561031571218796,
compas,joint_dirichlet_0.3,B0,equalized_odds_gap,10,0.21479285231019282,0.031382742723810426,0.2195394481150407,0.19519170578862272,0.23172332292256986,0.147428423370903,0.2561031571218796,
compas,joint_dirichlet_0.3,B0,subgroup_accuracy_gap,10,0.02420487182214652,0.015860205533892054,0.02212530581852995,0.015798851186044,0.03448595894053818,0.0080310605254759,0.0595681310498882,
compas,joint_dirichlet_0.3,B0,runtime_ms,10,40.5589874018915,3.76550410302262,41.06012548436411,38.3694422422559,42.7259106420388,35.6153339962475,46.515915950294584,
compas,joint_dirichlet_0.3,B1,accuracy,10,0.6462121212121212,0.020050639334404628,0.6559343434343434,0.6329545454545455,0.6559343434343434,0.5959595959595959,0.6590909090909091,
compas,joint_dirichlet_0.3,B1,macro_f1,10,0.6277380000463528,0.027144824920469712,0.6423158754894681,0.6115323394314722,0.6420991708289835,0.5744652271735116,0.6540286117267782,
compas,joint_dirichlet_0.3,B1,demographic_parity_gap,10,0.20151579619189444,0.02589561329714132,0.2076374853738963,0.18600674130411654,0.21601957238591632,0.1589990426550367,0.2425273907031166,
compas,joint_dirichlet_0.3,B1,equal_opportunity_gap,10,0.14158865638766518,0.04625784219363206,0.1301050844346549,0.1187399045521292,0.17127260003671071,0.0880827826725404,0.2561031571218796,
compas,joint_dirichlet_0.3,B1,equalized_odds_gap,10,0.21479285231019282,0.031382742723810426,0.2195394481150407,0.194757549809869,0.23205215454685013,0.147428423370903,0.2561031571218796,
compas,joint_dirichlet_0.3,B1,subgroup_accuracy_gap,10,0.02420487182214652,0.015860205533892054,0.02212530581852995,0.015745399425592964,0.03430233485799376,0.0080310605254759,0.0595681310498882,
compas,joint_dirichlet_0.3,B1,runtime_ms,10,40.57209560414776,3.3210983109378027,41.13612501532771,38.50908542168327,42.40492890239693,34.773374965880066,44.322041037958115,
compas,joint_dirichlet_0.3,B3,accuracy,10,0.5832070707070708,0.05074106610125389,0.571969696969697,0.5516414141414142,0.6117424242424242,0.4709595959595959,0.6565656565656566,
compas,joint_dirichlet_0.3,B3,macro_f1,10,0.5096624298672779,0.09733289741920853,0.5217893457117595,0.45137299915925444,0.5646794669668389,0.3201716738197425,0.6547138964577657,
compas,joint_dirichlet_0.3,B3,demographic_parity_gap,10,0.11444261248803314,0.08557084968752855,0.12200829698968194,0.06450124986703536,0.16428352037017332,0.0,0.2265982342304009,
compas,joint_dirichlet_0.3,B3,equal_opportunity_gap,10,0.09831819016152714,0.10593397132471521,0.0482401798825257,0.036772668869309785,0.16113940895741555,0.0,0.2332277900146843,
compas,joint_dirichlet_0.3,B3,equalized_odds_gap,10,0.13403913543901338,0.0896774244314024,0.16203523772509387,0.0803656790459407,0.1845650998506959,0.0,0.2332277900146843,
compas,joint_dirichlet_0.3,B3,subgroup_accuracy_gap,10,0.0567625784491011,0.0436115533275772,0.043133709179874455,0.031935166471651885,0.08297029571322194,0.0028720348899052,0.1307041804063398,
compas,joint_dirichlet_0.3,B3,runtime_ms,10,40.34626670181751,3.27654906036194,41.04135450324975,38.382692534214584,42.188170627341606,35.053083032835275,44.33629097184166,
