scenario_id,seed,client_count,partition,policy_profile,method,round,aggregation_status,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
threshold_sensitivity,7001,10,joint_dirichlet_0.3,moderate,B3,5,updated,2,8,0.2,0.6026519337016575,0.5969759337276943,0.22232353672591332,0.08016709021997714,0.14860754614951177,0.010392684320347567
threshold_sensitivity,7001,10,joint_dirichlet_0.3,strict,B3,1,updated,2,8,0.2,0.7531491712707182,0.4373672917924757,0.0009274288072490084,0.004676777831198917,0.004676777831198917,0.19901860116461167
threshold_sensitivity,7001,10,joint_dirichlet_0.3,strict,B3,2,updated,1,9,0.1,0.7520441988950276,0.43270648967551617,0.0013084723585214263,0.004171011470281543,0.004171011470281543,0.19863755761333934
threshold_sensitivity,7001,10,joint_dirichlet_0.3,strict,B3,3,updated,1,9,0.1,0.7516022099447514,0.43083136825180257,0.0006542361792607131,0.0020855057351407717,0.0020855057351407717,0.19929179379259998
threshold_sensitivity,7001,10,joint_dirichlet_0.3,strict,B3,4,updated,1,9,0.1,0.7516022099447514,0.43083136825180257,0.0006542361792607131,0.0020855057351407717,0.0020855057351407717,0.19929179379259998
threshold_sensitivity,7001,10,joint_dirichlet_0.3,strict,B3,5,updated,1,9,0.1,0.7513812154696132,0.4298914765352991,0.00032711808963035657,0.0010427528675703858,0.0010427528675703858,0.19961891188223035
threshold_sensitivity,7002,10,joint_dirichlet_0.3,lenient,B3,1,updated,5,5,0.5,0.7529281767955801,0.43643820075519585,0.0026169447170428526,0.008342022940563087,0.008342022940563087,0.19732908525481785
threshold_sensitivity,7002,10,joint_dirichlet_0.3,lenient,B3,2,updated,6,4,0.6,0.7540331491712707,0.4410684315157133,0.0032442181654825345,0.006525010458748821,0.006525010458748821,0.19670181180637825
threshold_sensitivity,7002,10,joint_dirichlet_0.3,lenient,B3,3,updated,5,5,0.5,0.7533701657458564,0.43829485632521437,0.002262863896591465,0.0033967518560376643,0.0033967518560376643,0.19768316607526926
threshold_sensitivity,7002,10,joint_dirichlet_0.3,lenient,B3,4,updated,4,6,0.4,0.7529281767955801,0.43643820075519585,0.0026169447170428526,0.008342022940563087,0.008342022940563087,0.19732908525481785
threshold_sensitivity,7002,10,joint_dirichlet_0.3,lenient,B3,5,updated,4,6,0.4,0.7529281767955801,0.43643820075519585,0.0026169447170428526,0.008342022940563087,0.008342022940563087,0.19732908525481785
threshold_sensitivity,7002,10,joint_dirichlet_0.3,submitted,B3,1,updated,5,5,0.5,0.7529281767955801,0.43643820075519585,0.0026169447170428526,0.008342022940563087,0.008342022940563087,0.19732908525481785
threshold_sensitivity,7002,10,joint_dirichlet_0.3,submitted,B3,2,updated,5,5,0.5,0.752707182320442,0.4355075791299427,0.002289826627412496,0.0072992700729927005,0.0072992700729927005,0.19765620334444822
threshold_sensitivity,7002,10,joint_dirichlet_0.3,submitted,B3,3,updated,4,6,0.4,0.7524861878453039,0.4345754228188758,0.001962708537782139,0.006256517205422315,0.006256517205422315,0.1979833214340786
threshold_sensitivity,7002,10,joint_dirichlet_0.3,submitted,B3,4,updated,4,6,0.4,0.7524861878453039,0.4345754228188758,0.001962708537782139,0.006256517205422315,0.006256517205422315,0.1979833214340786
