scenario_id,seed,partition,method,round,client_id,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
adult_mlp,4002,joint_dirichlet_0.3,B1,4,9,1015,254,True,False,0.46062992125984253,0.39956863083426797,0.18722294654498045,,,0.20260756192959578,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",1.2736249773297459
adult_mlp,4002,joint_dirichlet_0.3,B1,5,0,2351,588,True,False,0.37244897959183676,0.3687518001623419,0.20831822170225212,0.09958720330237361,0.5136186770428015,0.2410880374378473,,1.9720830023288727
adult_mlp,4002,joint_dirichlet_0.3,B1,5,1,1475,369,True,False,0.5853658536585366,0.38674357219669564,,,,,"comparison_groups,subgroup_accuracy_gap",1.4906249998603016
adult_mlp,4002,joint_dirichlet_0.3,B1,5,2,785,197,True,False,0.6091370558375635,0.39043600562587905,0.16911045943304004,1.0,1.0,0.3563049853372434,,1.1083749996032566
adult_mlp,4002,joint_dirichlet_0.3,B1,5,3,3320,830,True,False,0.39759036144578314,0.3650123325315658,0.2530570551309233,,,0.34184379472743365,"equal_opportunity_gap,equalized_odds_gap",2.4844159779604524
adult_mlp,4002,joint_dirichlet_0.3,B1,5,4,3665,917,True,False,0.5190839694656488,0.38513923415513035,0.2293691525115814,0.07524271844660194,0.07524271844660194,0.37045826142247246,,2.5234170025214553
adult_mlp,4002,joint_dirichlet_0.3,B1,5,5,716,179,True,False,0.4134078212290503,0.3792317600819104,0.18657092466616276,0.6808510638297872,0.6808510638297872,0.03350970017636684,,1.0664160072337836
adult_mlp,4002,joint_dirichlet_0.3,B1,5,6,508,127,True,False,0.25984251968503935,0.25610667996011965,0.3295977011494253,0.16823406478578892,,0.2045977011494253,"equalized_odds_gap,false_positive_rate_gap",0.9172919963020831
adult_mlp,4002,joint_dirichlet_0.3,B1,5,7,1100,275,True,False,0.36,0.35693027210884354,0.25802538260544977,,,0.05337812616648002,"equal_opportunity_gap,equalized_odds_gap",1.2671250151470304
adult_mlp,4002,joint_dirichlet_0.3,B1,5,8,5572,1394,True,False,0.5903873744619799,0.40577092915527874,0.13436919264918437,0.03207698476343224,,0.364159611810861,"equalized_odds_gap,false_positive_rate_gap",3.8740839809179306
adult_mlp,4002,joint_dirichlet_0.3,B1,5,9,1015,254,True,False,0.49606299212598426,0.4160919540229885,0.1647109952194698,,,0.292916123424598,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",1.3000830076634884
adult_mlp,4003,joint_dirichlet_0.3,B0,1,0,1180,295,True,False,0.711864406779661,0.5076092292587138,,,,,"comparison_groups,subgroup_accuracy_gap",1.6119999927468598
adult_mlp,4003,joint_dirichlet_0.3,B0,1,1,837,210,True,False,0.5619047619047619,0.5550847457627119,0.014054054054054022,,,0.08864864864864863,"equal_opportunity_gap,equalized_odds_gap",1.2397909886203706
adult_mlp,4003,joint_dirichlet_0.3,B0,1,2,3630,908,True,False,0.5825991189427313,0.4710340852322945,0.006603317764535266,0.011378002528445008,,0.011435013689805151,"equalized_odds_gap,false_positive_rate_gap",2.7851249906234443
