scenario_id,seed,client_count,partition,policy_profile,attack_type,method,round,client_id,malicious_client,train_samples,evaluation_samples,valid_update,approved,accuracy,macro_f1,demographic_parity_gap,equal_opportunity_gap,equalized_odds_gap,subgroup_accuracy_gap,undefined_metrics,runtime_ms
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,5,1,False,889,223,True,True,0.9955156950672646,0.49887640449438203,0.0,,,0.008547008547008517,"equal_opportunity_gap,equalized_odds_gap",1.1996249959338456
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,5,2,False,605,152,True,True,0.9078947368421053,0.47586206896551725,0.007042253521126761,0.0,0.007352941176470588,0.6507042253521127,,0.962500023888424
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,5,3,False,1432,358,True,False,0.9441340782122905,0.5310453235525282,,,,,"comparison_groups,subgroup_accuracy_gap",1.194167009089142
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,5,4,False,1224,307,True,False,0.6710097719869706,0.6507158708165771,0.36149870801033596,0.4049079754601227,0.4049079754601227,0.5343238587424634,,1.1637500138022006
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,5,5,False,1093,274,False,False,,,,,,,,0.025375018594786525
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,5,6,False,8685,2172,True,True,0.6777163904235728,0.581366917963996,0.11446066886481394,,,0.32972209138012243,"equal_opportunity_gap,equalized_odds_gap",3.48137499531731
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,5,7,False,169,43,True,False,0.6744186046511628,0.6655555555555556,0.44,,,0.56,"equal_opportunity_gap,equalized_odds_gap,false_positive_rate_gap",0.868332979734987
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,5,8,False,206,52,True,True,0.9423076923076923,0.48514851485148514,0.0,0.0,0.0,0.012612612612612595,,0.7758749998174608
adversarial,10001,10,joint_dirichlet_0.3,submitted,none,B0,5,9,False,3320,830,True,True,0.8349397590361446,0.500963315032542,0.008263117189726055,0.051094890510948905,0.051094890510948905,0.30957323703690776,,1.801083009922877
adversarial,10001,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,0,True,2882,721,True,False,0.03744798890429958,0.03609625668449198,0.0,0.0,0.0,0.07523822957808289,,1.787999994121492
