scenario_id,seed,client_count,partition,policy_profile,attack_type,method,round,aggregation_status,included_clients,excluded_clients,approval_rate,global_accuracy,global_macro_f1,global_demographic_parity_gap,global_equal_opportunity_gap,global_equalized_odds_gap,global_subgroup_accuracy_gap
adversarial,10002,10,joint_dirichlet_0.3,submitted,random_weights,B0,3,updated,10,0,1.0,0.6057458563535911,0.5443509131269564,0.14838214701774372,0.22436045531460536,0.22436045531460536,0.0758606459111576
adversarial,10002,10,joint_dirichlet_0.3,submitted,random_weights,B0,4,updated,10,0,1.0,0.5535911602209945,0.5264660926824052,0.01447586679608781,0.06714204541906799,0.06714204541906799,0.018827116752635376
adversarial,10002,10,joint_dirichlet_0.3,submitted,random_weights,B0,5,updated,10,0,1.0,0.7069613259668508,0.5480840145043329,0.04710389074434074,0.09657015478948258,0.09657015478948258,0.08891417294831439
adversarial,10002,10,joint_dirichlet_0.3,submitted,none,B6,1,updated,10,0,1.0,0.7529281767955801,0.43643820075519585,0.0026169447170428526,0.008342022940563087,0.008342022940563087,0.19732908525481785
adversarial,10002,10,joint_dirichlet_0.3,submitted,none,B6,2,updated,10,0,1.0,0.7531491712707182,0.4373672917924757,0.002944062806673209,0.009384775808133473,0.009384775808133473,0.19700196716518747
adversarial,10002,10,joint_dirichlet_0.3,submitted,none,B6,3,updated,10,0,1.0,0.7531491712707182,0.4373672917924757,0.002944062806673209,0.009384775808133473,0.009384775808133473,0.19700196716518747
adversarial,10002,10,joint_dirichlet_0.3,submitted,none,B6,4,updated,10,0,1.0,0.7533701657458564,0.43829485632521437,0.0032711808963035655,0.010427528675703858,0.010427528675703858,0.1966748490755572
adversarial,10002,10,joint_dirichlet_0.3,submitted,none,B6,5,updated,10,0,1.0,0.7538121546961326,0.4401454221391368,0.003925417075564278,0.01251303441084463,0.01251303441084463,0.19602061289629646
adversarial,10002,10,joint_dirichlet_0.3,submitted,label_flip,B6,1,updated,10,0,1.0,0.7529281767955801,0.43643820075519585,0.0026169447170428526,0.008342022940563087,0.008342022940563087,0.19732908525481785
adversarial,10002,10,joint_dirichlet_0.3,submitted,label_flip,B6,2,updated,10,0,1.0,0.7529281767955801,0.43643820075519585,0.0026169447170428526,0.008342022940563087,0.008342022940563087,0.19732908525481785
adversarial,10002,10,joint_dirichlet_0.3,submitted,label_flip,B6,3,updated,10,0,1.0,0.7529281767955801,0.43643820075519585,0.0026169447170428526,0.008342022940563087,0.008342022940563087,0.19732908525481785
adversarial,10002,10,joint_dirichlet_0.3,submitted,label_flip,B6,4,updated,10,0,1.0,0.7531491712707182,0.4373672917924757,0.002944062806673209,0.009384775808133473,0.009384775808133473,0.19700196716518747
adversarial,10002,10,joint_dirichlet_0.3,submitted,label_flip,B6,5,updated,10,0,1.0,0.7531491712707182,0.4373672917924757,0.002944062806673209,0.009384775808133473,0.009384775808133473,0.19700196716518747
adversarial,10002,10,joint_dirichlet_0.3,submitted,sign_flip,B6,1,updated,10,0,1.0,0.7529281767955801,0.43643820075519585,0.0026169447170428526,0.008342022940563087,0.008342022940563087,0.19732908525481785
adversarial,10002,10,joint_dirichlet_0.3,submitted,sign_flip,B6,2,updated,10,0,1.0,0.7533701657458564,0.43829485632521437,0.0032711808963035655,0.010427528675703858,0.010427528675703858,0.1966748490755572
adversarial,10002,10,joint_dirichlet_0.3,submitted,sign_flip,B6,3,updated,10,0,1.0,0.7533701657458564,0.43829485632521437,0.0032711808963035655,0.010427528675703858,0.010427528675703858,0.1966748490755572
adversarial,10002,10,joint_dirichlet_0.3,submitted,sign_flip,B6,4,updated,10,0,1.0,0.7540331491712707,0.4410684315157133,0.004252535165194635,0.013555787278415016,0.013555787278415016,0.1956934948066661
adversarial,10002,10,joint_dirichlet_0.3,submitted,sign_flip,B6,5,updated,10,0,1.0,0.7540331491712707,0.4410684315157133,0.004252535165194635,0.013555787278415016,0.013555787278415016,0.1956934948066661
adversarial,10002,10,joint_dirichlet_0.3,submitted,random_weights,B6,1,updated,10,0,1.0,0.7533701657458564,0.43829485632521437,0.0032711808963035655,0.010427528675703858,0.010427528675703858,0.1966748490755572
adversarial,10002,10,joint_dirichlet_0.3,submitted,random_weights,B6,2,updated,10,0,1.0,0.7533701657458564,0.43829485632521437,0.0032711808963035655,0.010427528675703858,0.010427528675703858,0.1966748490755572
adversarial,10002,10,joint_dirichlet_0.3,submitted,random_weights,B6,3,updated,10,0,1.0,0.7542541436464089,0.44198993057865904,0.004579653254824992,0.014598540145985401,0.014598540145985401,0.19536637671703572
adversarial,10002,10,joint_dirichlet_0.3,submitted,random_weights,B6,4,updated,10,0,1.0,0.754475138121547,0.44290992334030976,0.0038984543447432483,0.008610516193889592,0.008610516193889592,0.1960475756271175
adversarial,10002,10,joint_dirichlet_0.3,submitted,random_weights,B6,5,updated,10,0,1.0,0.754475138121547,0.44290992334030976,0.0038984543447432483,0.008610516193889592,0.008610516193889592,0.1960475756271175
adversarial,10003,10,joint_dirichlet_0.3,submitted,none,B0,1,updated,10,0,1.0,0.7639779005524862,0.4884182472733,0.018456991993183108,0.03575331089645527,0.03575331089645527,0.1839981317724364
adversarial,10003,10,joint_dirichlet_0.3,submitted,none,B0,2,updated,10,0,1.0,0.7653038674033149,0.49483880001311903,0.020719855889774572,0.04409533383701836,0.04409533383701836,0.18102710623494211
adversarial,10003,10,joint_dirichlet_0.3,submitted,none,B0,3,updated,10,0,1.0,0.7675138121546962,0.5030495799989644,0.02399103678607814,0.0545228625127222,0.0545228625127222,0.1777559253386385
adversarial,10003,10,joint_dirichlet_0.3,submitted,none,B0,4,updated,10,0,1.0,0.7686187845303868,0.507783691312451,0.025272546413778532,0.060779379718144524,0.060779379718144524,0.17511201789077468
adversarial,10003,10,joint_dirichlet_0.3,submitted,none,B0,5,updated,10,0,1.0,0.7710497237569061,0.5185426649314114,0.028816919938070396,0.07537791986412992,0.07537791986412992,0.16949708490541648
adversarial,10003,10,joint_dirichlet_0.3,submitted,label_flip,B0,1,updated,10,0,1.0,0.7319337016574585,0.7068350210485707,0.45492366204690354,0.36154177567700885,0.36154177567700885,0.1981557937783387
adversarial,10003,10,joint_dirichlet_0.3,submitted,label_flip,B0,2,updated,10,0,1.0,0.730828729281768,0.705751299585747,0.45691333331550665,0.3675297996291046,0.3675297996291046,0.1987830672267784
adversarial,10003,10,joint_dirichlet_0.3,submitted,label_flip,B0,3,updated,10,0,1.0,0.7301657458563536,0.7051511751126731,0.45991132158382203,0.3675297996291046,0.3675297996291046,0.20178105549509373
adversarial,10003,10,joint_dirichlet_0.3,submitted,label_flip,B0,4,updated,10,0,1.0,0.7283977900552486,0.7034690372827409,0.46187403012160416,0.37351782358120045,0.37351782358120045,0.2023813662127123
adversarial,10003,10,joint_dirichlet_0.3,submitted,label_flip,B0,5,updated,10,0,1.0,0.7268508287292818,0.7020711036297582,0.46517217374872877,0.37351782358120045,0.37351782358120045,0.20567950983983696
adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B0,1,updated,10,0,1.0,0.7319337016574585,0.7068350210485707,0.45492366204690354,0.36154177567700885,0.36154177567700885,0.1981557937783387
adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B0,2,updated,10,0,1.0,0.731049723756906,0.7060343320490732,0.4562321344054249,0.36154177567700885,0.36154177567700885,0.1994642661368602
adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B0,3,updated,10,0,1.0,0.7306077348066299,0.7054681558426524,0.45759453222558844,0.3664870467615342,0.3664870467615342,0.20011850231612083
adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B0,4,updated,10,0,1.0,0.7303867403314918,0.7052681325899929,0.4579216503152188,0.3664870467615342,0.3664870467615342,0.2004456204057512
adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B0,5,updated,10,0,1.0,0.7303867403314918,0.7052681325899929,0.4579216503152188,0.3664870467615342,0.3664870467615342,0.2004456204057512
adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B0,1,updated,10,0,1.0,0.4833149171270718,0.4795077757118814,0.10703557921739448,0.11587669291240255,0.11587669291240255,0.04588477421275511
adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B0,2,updated,10,0,1.0,0.5348066298342542,0.5243792981628299,0.08101008183300218,0.054653987124811954,0.054653987124811954,0.045471197118508555
adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B0,3,updated,10,0,1.0,0.4223204419889503,0.4179298481544572,0.034074875280657446,0.03915630678163995,0.0522260869947514,0.11491426742928856
adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B0,4,updated,10,0,1.0,0.6680662983425414,0.5123508184036938,0.15915119540715503,0.19294674467540412,0.19294674467540412,0.01338911276125987
adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B0,5,updated,10,0,1.0,0.7197790055248618,0.5858839825580052,0.016162485883562006,0.11444056620856308,0.11444056620856308,0.09514924874255626
adversarial,10003,10,joint_dirichlet_0.3,submitted,none,B6,1,updated,10,0,1.0,0.7560220994475139,0.4509422216594918,0.006488436330965069,0.01096451518235687,0.01096451518235687,0.19476606599941704
adversarial,10003,10,joint_dirichlet_0.3,submitted,none,B6,2,updated,10,0,1.0,0.756243093922652,0.451845920388049,0.006815554420595425,0.012007268049927255,0.012007268049927255,0.19443894790978666
adversarial,10003,10,joint_dirichlet_0.3,submitted,none,B6,3,updated,10,0,1.0,0.7573480662983425,0.4563426201912345,0.00845114486874721,0.017221032387779184,0.017221032387779184,0.1928033574616349
adversarial,10003,10,joint_dirichlet_0.3,submitted,none,B6,4,updated,10,0,1.0,0.7577900552486188,0.4581312005594161,0.009105381048007923,0.01930653812291996,0.01930653812291996,0.19214912128237416
adversarial,10003,10,joint_dirichlet_0.3,submitted,none,B6,5,updated,10,0,1.0,0.7580110497237569,0.4598167080781298,0.010086735316898993,0.02139204385806073,0.02139204385806073,0.19182200319274378
adversarial,10003,10,joint_dirichlet_0.3,submitted,label_flip,B6,1,updated,10,0,1.0,0.7571270718232044,0.45464141094286753,0.00746979059985614,0.015135526652638415,0.015135526652638415,0.19313047555126528
adversarial,10003,10,joint_dirichlet_0.3,submitted,label_flip,B6,2,updated,10,0,1.0,0.7575690607734806,0.4564371721559786,0.008124026779116854,0.017221032387779184,0.017221032387779184,0.19247623937200453
adversarial,10003,10,joint_dirichlet_0.3,submitted,label_flip,B6,3,updated,10,0,1.0,0.7575690607734806,0.4564371721559786,0.008124026779116854,0.017221032387779184,0.017221032387779184,0.19247623937200453
adversarial,10003,10,joint_dirichlet_0.3,submitted,label_flip,B6,4,updated,10,0,1.0,0.7577900552486188,0.4573328886426166,0.00845114486874721,0.018263785255349572,0.018263785255349572,0.19214912128237416
adversarial,10003,10,joint_dirichlet_0.3,submitted,label_flip,B6,5,updated,10,0,1.0,0.7580110497237569,0.4582271674166209,0.008778262958377567,0.01930653812291996,0.01930653812291996,0.19182200319274378
adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B6,1,updated,10,0,1.0,0.7571270718232044,0.45464141094286753,0.00746979059985614,0.015135526652638415,0.015135526652638415,0.19313047555126528
adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B6,2,updated,10,0,1.0,0.7575690607734806,0.4564371721559786,0.008124026779116854,0.017221032387779184,0.017221032387779184,0.19247623937200453
adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B6,3,updated,10,0,1.0,0.7577900552486188,0.4573328886426166,0.00845114486874721,0.018263785255349572,0.018263785255349572,0.19214912128237416
adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B6,4,updated,10,0,1.0,0.7580110497237569,0.45902334162997377,0.00943249913763828,0.020349290990490345,0.020349290990490345,0.19182200319274378
adversarial,10003,10,joint_dirichlet_0.3,submitted,sign_flip,B6,5,updated,10,0,1.0,0.7586740331491713,0.46169121319001966,0.009405536406817249,0.016446772773535307,0.016446772773535307,0.19184896592356493
adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B6,1,updated,10,0,1.0,0.7549171270718232,0.4455750464716102,0.0052069267032646745,0.01173877479660075,0.01173877479660075,0.19539333944785675
adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B6,2,updated,10,0,1.0,0.7571270718232044,0.4562480885761337,0.007769945958665466,0.010190255568112993,0.010190255568112993,0.19413879255097743
adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B6,3,updated,10,0,1.0,0.7566850828729281,0.45364894763248154,0.00746979059985614,0.014092773785068027,0.014092773785068027,0.19378471173052603
adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B6,4,updated,10,0,1.0,0.7569060773480663,0.4545482837913776,0.0077969086894864965,0.015135526652638415,0.015135526652638415,0.19345759364089565
adversarial,10003,10,joint_dirichlet_0.3,submitted,random_weights,B6,5,updated,10,0,1.0,0.7566850828729281,0.45364894763248154,0.00746979059985614,0.014092773785068027,0.014092773785068027,0.19378471173052603
adversarial,10004,10,joint_dirichlet_0.3,submitted,none,B0,1,updated,9,1,0.9,0.7690607734806629,0.5087239325897912,0.026280863413490636,0.06182213258571491,0.06182213258571491,0.17546609871122598
