execution_id,round_id,round_state,node_id,approval_status,model_cid,tx_hash,gas_used
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,1,Archived,2,Approved,bafkreihad5yl43jkaplk7otznk3ggjbq7sifwfchcdtt5zzrjl5hkvfala,0xf2ecc3d624a51067a7c489857ad6dfa12882f975337d7d1944bcd301acbf2782,1140953
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,1,Archived,3,Rejected,bafkreiccsllbn2biroz2lxagy3bd4lugpe3wtuw2xu2bzf32r2y2w6hifu,0x2ed26476bf609c460b59ce61f3cd0def986fc6e223422a3f1f2028a9cd1ebf7a,1115138
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,1,Archived,4,Rejected,bafkreieroyxwxa7frlewi7qff55kqposhngtsz5khewad4qxuhcwsioenq,0x0804f1b0373f04792a83911ff06c88dd36c256e0c35e8c19d183b620f20c0bc3,1115307
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,1,Archived,5,Approved,bafkreigdqleqcexujuytjvsmb3ng6kzkxeadhmksn7jkvjli5kuxsfignq,0x4b37d3c010e570f16257d28b2dde8ca524b4864fa33b822f410f62debc6c35ed,1140881
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,2,Cancelled,1,Rejected,bafkreidwmuxtbxxssu4iwtz5rrayuj4vwteh5qjmllshcksmrxikp3tanq,0x3087ab7231bbc7a6c9ed27a6e3b5f561ac307f7a57971176335f57454cd4671e,1132286
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,2,Cancelled,2,Rejected,bafkreid4wpddeygznjzhhufdpvkr6z656e227h4mebpdtbtam4h3ncxvfe,0xd5df698585538a5faafd125e53ac323694f67ce030062a92f660882197b555b5,1115283
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,2,Cancelled,3,Rejected,bafkreihcu43rbx5r7lvyal5mz5defdjyw7kqsrl7pq3pwzugldtpn5wiw4,0x27e7d7d28d6461397473f3c75a05b769791f756ee722aaa43ba83eba6563137a,1115150
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,2,Cancelled,4,Rejected,bafkreiel2em6lpv6owzrfwtbuyhxghytnl4vsdahaqdhxwkma7wv6dtcoy,0xce3b1643a20f54fa83554f7e8ca39c3808dcafe86c4d19dbb71ce3553d33c698,1115295
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,2,Cancelled,5,Rejected,bafkreidk66coex3mwxouaqbziv5fu3faym2kkup2cwvb3ackdjpknbjhe4,0x60cb584a9d8e85b4bc376139de4d11dd96be81e25705f0f535835e39f21d5450,1115198
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,3,Cancelled,1,Rejected,bafkreicsg3tlah4oub6vy5sqvvfvefkuoyiagm7ypxzaljj2cvnirlbo3y,0xfbd2179230b8ab7ea0d4604cc046e096a570f5e32ea89fc7d658ca8f539f1bf1,1132298
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,3,Cancelled,2,Rejected,bafkreibpwx2ggc2zltktmn2nl4zm77lgoqblusx5z2sz2nmeuwxepyy4ma,0x1508866eacc042f1fe553d6c4ffcc049254816e48903d1446f6db502101f2693,1115270
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,3,Cancelled,3,Rejected,bafkreibn45cpl3mmub75pkpk3kjdtsvaf72m4gkoor7wq4de7uxnmbqf7a,0xe1590182049e2782aebac5d2f047f0900269f53534699d53af17a9c1831303ed,1115150
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,3,Cancelled,4,Rejected,bafkreid2krfoakqw743dqhqg7pdp4db6j3s6vfobnopvkiue2rgnrzhxba,0x73385cf592225df92e140d2a67fe6b31a9d30c8c1459d0f36e54df6d5ad6dda9,1115295
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B4,3,Cancelled,5,Rejected,bafkreiajrbf7veo4ywcrbogs5e5wn4hzrqxbvvjwc47bzhjosee4e5mh7m,0x25a0a6ca67335c36c5d7d453c57be3c3037dfe399752b6a39222bd6d9f253b73,1115186
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,1,Archived,1,Approved,bafkreieqwqnirpc5yy44oxbpde5au4vxguhbrn6lz3x6hmch6jvyqqmrre,0x7cd54e6e8cb3a52189a32b3571682993671c02ad95aae84e3d36faa89ce7f2b6,1157933
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,1,Archived,2,Approved,bafkreihad5yl43jkaplk7otznk3ggjbq7sifwfchcdtt5zzrjl5hkvfala,0xf73f808ffa35cd8e39c06c98e0589be61298ab60ea331ad218c02be7781542d6,1140929
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,1,Archived,3,Rejected,bafkreiccsllbn2biroz2lxagy3bd4lugpe3wtuw2xu2bzf32r2y2w6hifu,0x3c825d8fc2444b4b335ad7fb9f6abe4ce00ed389444e80d7684b2523fcfbde0b,1115138
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,1,Archived,4,Rejected,bafkreieroyxwxa7frlewi7qff55kqposhngtsz5khewad4qxuhcwsioenq,0xafa36ec6a305b4cdfb7eafe74211a404c65faf961229b6f1999899f00874e48e,1115270
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,1,Archived,5,Approved,bafkreigdqleqcexujuytjvsmb3ng6kzkxeadhmksn7jkvjli5kuxsfignq,0x568537b3bf0a70f04f5aa490e5547f958d8f5b870a68aa8e35b5db5dd9e65a5f,1140845
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,2,Archived,1,Approved,bafkreidwmuxtbxxssu4iwtz5rrayuj4vwteh5qjmllshcksmrxikp3tanq,0x838aebe63b01756b5de33b28e74fc546d66a67e8ec5f442d1608b11c14936697,1157969
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,2,Archived,2,Approved,bafkreid5atc6gr322m4dnilz6kdunmnp7imombyfzuk3rce53zto2w7vzi,0x3a0a4b90bba8e713c7b92314e140d5c74c034cabf75039f2d19cefd3b50d39f1,1140953
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,2,Archived,3,Rejected,bafkreifjqvwnbqc6zdohbzcysliqyujfrxcosoz46brlt6u2t6qtxtfyja,0xedcc82579d200d485038875011c57b61b9436916391d572fd409123c6f9af8f1,1115175
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,2,Archived,4,Rejected,bafkreihd7ocxr4vwmuwp5nizaej35fkxa4gbfoj5ozcvv2c5wbcjksyefi,0xb0650ff843e0c4f8ee4b8cb66ec3793a54b86c13ece9a91a23b7173231eada78,1115307
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,2,Archived,5,Rejected,bafkreihaudh45lstxkfmq2mcljsqodr6k2gqgkalwfle52wdxi7w32myga,0x5f42ac1ac6054ebce47c0490791bb6d31d78dc65d00e7be9dead94c3e8450721,1115247
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,3,Archived,1,Approved,bafkreicsg3tlah4oub6vy5sqvvfvefkuoyiagm7ypxzaljj2cvnirlbo3y,0x8e6c12d234f47507278a093eadab3b8e2a77ab3035fb6dbbf0371e1d89b598d1,1158018
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,3,Archived,2,Rejected,bafkreifgwx2c7lnkadn5mgurxzd56cnnl5ovyto6frtrsbltfmpqebt73m,0x5513dc207f3c2305a593d703bd4c5a46546e4c7592c0cb68ee06c6868c77f93c,1115270
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,3,Archived,3,Rejected,bafkreigmxko6a4hc7j77lr4p4ku46j2guwrdomp6h65fajjrasczobpt74,0x8586c5a49fc70130b502f6cafe34a39406225abf7162be5cf931fc37943ca0fb,1115175
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,3,Archived,4,Rejected,bafkreicbv7zhyyaextkvhq7rvyeijg4udwolqrq2fiivoihs4bj24n7z6u,0x7ed1b3dded8ef0ed768eb26a859e4500a17f8ba37664e00a67a541407074d996,1115283
seed_10001-clients_5-joint_dirichlet_0.3-submitted-random_weights-B7,3,Archived,5,Approved,bafkreicdisx56lu37uiyg3lqvamqf4lp2fthhkppt6w4lsniak232dkuqm,0x61d435ea4fb2fab133878942baaec49e1f3a2b8a997af067f1587b1b9841aa84,1140918
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,1,Archived,1,Approved,bafkreigeyh5r2shyyljxvnovs6mmynvbkr4cl3st4ngmcmvflojusxwfb4,0x8217847fe7f1f000f9516f506c2a296f69933b10b51d145666363f2ba4160188,1157933
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,1,Archived,2,Approved,bafkreihad5yl43jkaplk7otznk3ggjbq7sifwfchcdtt5zzrjl5hkvfala,0xc08780862e011d4edf8ab4fcfd0c09e949709ab654d5884a0cc1cd43034508bf,1140942
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,1,Archived,3,Rejected,bafkreiccsllbn2biroz2lxagy3bd4lugpe3wtuw2xu2bzf32r2y2w6hifu,0xa4d75774b801b344ce25e9ff724fd4eabe0f9a5593df74e55304d662cb670750,1115163
seed_10001-clients_5-joint_dirichlet_0.3-submitted-sign_flip-B4,1,Archived,4,Rejected,bafkreieroyxwxa7frlewi7qff55kqposhngtsz5khewad4qxuhcwsioenq,0x42e473440bee5076292edb0e06a8189acdec3b05c3c45f5d0a2578cc956694de,1115282
