execution_id,approved,client_id,proof_ms,round,verify_ms,witness_ms
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B4,True,4,260.3318329784088,3,215.3677919995971,57.54904099740088
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,False,0,0,1,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,False,1,0,1,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,True,2,256.28558301832527,1,218.62295898608863,60.59241702314466
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,True,3,260.50237502204254,1,233.0802499782294,52.186166984029114
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,True,4,254.65908303158358,1,215.89866699650884,33.98104099323973
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,False,0,0,2,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,False,1,0,2,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,True,2,275.3432919853367,2,379.63145796675235,57.04933300148696
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,True,3,271.22383302776143,2,231.3764580176212,53.76612499821931
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,True,4,275.37320903502405,2,231.500166002661,53.79154096590355
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,False,0,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,True,1,271.3287909864448,3,225.43116699671373,55.50287495134398
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,True,2,284.08879099879414,3,257.1709589683451,40.290874952916056
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,False,3,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-label_flip-B7,True,4,284.39029201399535,3,227.87204198539257,51.908166031353176
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,False,0,0,1,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,True,1,263.19616701221094,1,215.0477909599431,59.78975002653897
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,True,2,263.52462504291907,1,217.61937497649342,58.16754203988239
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,True,3,257.9505000030622,1,214.6059999940917,58.72600001748651
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,True,4,257.5877079507336,1,215.40570800425485,59.46104199392721
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,False,0,0,2,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,True,1,265.47579100588337,2,215.63933399738744,58.01420798525214
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,True,2,263.56391701847315,2,214.37337499810383,59.21033403137699
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,True,3,258.49550002021715,2,217.40475000115111,59.00429101893678
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,True,4,262.327375006862,2,216.05754201300442,52.27275000652298
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,False,0,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,True,1,259.0533329639584,3,215.02104197861627,57.31029104208574
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,True,2,260.3289589751512,3,215.9910419723019,50.81720801535994
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,False,3,0,3,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B4,True,4,260.77758404426277,3,216.3233329774812,58.33795800572261
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,False,0,0,1,0,0
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,1,258.14279197948053,1,218.65441696718335,58.37420799070969
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,2,259.26500000059605,1,223.21912500774488,35.29541700845584
seed_10002-clients_5-joint_dirichlet_0.3-submitted-none-B7,True,3,262.05924997339025,1,213.90795899787918,59.21762500656769
