suite,method,metric,n,mean,std,median,ci95_low,ci95_high,minimum,maximum,client_count,partition,policy_profile,attack_type
heterogeneity,B0,subgroup_accuracy_gap,10,0.1778605466465669,0.0003527729280533678,0.1778382607744318,0.17765294502183657,0.1780694360777699,0.1771976773507597,0.1783931709668804,,iid,,
heterogeneity,B0,runtime_ms,10,79.4206915947143,5.432916955164148,78.30085400200915,76.84943318854494,83.01143478522135,74.88716699299403,93.3542499842588,,iid,,
heterogeneity,B0,accuracy,10,0.7735524568393094,0.001158609218800209,0.7732403718459495,0.773074369189907,0.7743227091633467,0.7728419654714476,0.7767596281540504,,joint_dirichlet_0.3,,
heterogeneity,B0,macro_f1,10,0.5196214762875733,0.005226123689395887,0.518012706279609,0.5175108491203146,0.5231038100890801,0.5163711618948659,0.5341647068452626,,joint_dirichlet_0.3,,
heterogeneity,B0,demographic_parity_gap,10,0.02717242972433053,0.001884286039985507,0.0265783497546377,0.026448945263430702,0.028411153118163564,0.0261348689228648,0.0324763128359542,,joint_dirichlet_0.3,,
heterogeneity,B0,equal_opportunity_gap,10,0.027970794864310422,0.0026200495300983226,0.0279775923356511,0.026475408290972845,0.029550434381267247,0.025227758131118,0.0327049766058454,,joint_dirichlet_0.3,,
heterogeneity,B0,equalized_odds_gap,10,0.027970794864310422,0.0026200495300983226,0.0279775923356511,0.02647312342665666,0.02956163164445677,0.025227758131118,0.0327049766058454,,joint_dirichlet_0.3,,
heterogeneity,B0,subgroup_accuracy_gap,10,0.1783667709341918,0.0010808780748043315,0.1786009150125758,0.17766167673084746,0.17885566399452163,0.1754495101531203,0.1792543765009739,,joint_dirichlet_0.3,,
heterogeneity,B0,runtime_ms,10,76.54921680514235,2.11081374052692,76.19079150026664,75.3189055549592,77.78970395957003,72.94916699174792,80.19675000105053,,joint_dirichlet_0.3,,
heterogeneity,B0,accuracy,10,0.7738114209827358,0.0003823430346469814,0.7737051792828685,0.773585657370518,0.7740373505976097,0.7731739707835326,0.7744355909694555,,joint_dirichlet_1.0,,
heterogeneity,B0,macro_f1,10,0.5208375738935953,0.0015051020767118625,0.5205754878659719,0.519958653590986,0.5217350018294553,0.5183664264710249,0.5232917734373447,,joint_dirichlet_1.0,,
heterogeneity,B0,demographic_parity_gap,10,0.027178618015557987,0.000430428209047451,0.02724567221301375,0.026915105129439464,0.02742499625543183,0.0264047666812611,0.0277844848245547,,joint_dirichlet_1.0,,
heterogeneity,B0,equal_opportunity_gap,10,0.026032315978455962,0.0020737928095277223,0.02651185187681605,0.024800602747206562,0.02721873034659674,0.0229097632823446,0.0292502617597682,,joint_dirichlet_1.0,,
heterogeneity,B0,equalized_odds_gap,10,0.026032315978455962,0.0020737928095277223,0.02651185187681605,0.024791407596374083,0.02721176293847255,0.0229097632823446,0.0292502617597682,,joint_dirichlet_1.0,,
heterogeneity,B0,subgroup_accuracy_gap,10,0.1783751416762638,0.0003635642505263097,0.1783310172541795,0.1781675400515335,0.17859923404400252,0.1778810973900435,0.1789716006778515,,joint_dirichlet_1.0,,
heterogeneity,B0,runtime_ms,10,78.27052099746652,3.197288558446251,77.6621664990671,76.56732982271933,80.29095878591761,75.02929199836217,84.5195000001695,,joint_dirichlet_1.0,,
threshold,B3,accuracy,10,0.7651859229747675,0.005477812648200931,0.7645418326693227,0.761925464807437,0.7683467795484729,0.7565737051792829,0.7730411686586985,,,lenient,
threshold,B3,macro_f1,10,0.47957479377084605,0.02622185683751123,0.4754725177445231,0.4644608506359123,0.49496979271145114,0.4396368592505212,0.5186766089332585,,,lenient,
threshold,B3,demographic_parity_gap,10,0.01447330189627893,0.009310177048967477,0.011999467786895101,0.009159924621999172,0.02011850186544378,0.002746558221861,0.0303319746440132,,,lenient,
threshold,B3,equal_opportunity_gap,10,0.01776590536891701,0.01338099554614034,0.0129774580998725,0.010442859541964632,0.025977363563611442,0.0035912354889695,0.0427720887829727,,,lenient,
threshold,B3,equalized_odds_gap,10,0.01776590536891701,0.01338099554614034,0.0129774580998725,0.010318161643868451,0.025879457127662774,0.0035912354889695,0.0427720887829727,,,lenient,
threshold,B3,subgroup_accuracy_gap,10,0.18595074750044685,0.005452507958842061,0.1869369043631786,0.1826334381137077,0.1891215982376388,0.1776453606039659,0.1936274802335246,,,lenient,
threshold,B3,runtime_ms,10,71.92225419275928,4.797505018970049,72.52933348354418,69.28228371427394,74.93678937331424,65.71799999801442,82.64433397562243,,,lenient,
threshold,B3,accuracy,10,0.7465537848605578,0.05256204580090965,0.7594289508632138,0.7117528220451527,0.7666467463479416,0.598339973439575,0.7819389110225764,,,moderate,
threshold,B3,macro_f1,10,0.4821305573032853,0.05279088064870922,0.45509983131003107,0.45433624916903426,0.5153334584640398,0.4480245873996351,0.5926428818061831,,,moderate,
