suite,method,metric,client_count,partition,policy_profile,attack_type,n,mean,ci95_low,ci95_high
adversarial,B6,runtime_ms,,,,label_flip,5,79.4233335996978,76.93665859987959,81.910008599516
adversarial,B0,accuracy,,,,none,5,0.7751792828685259,0.7727224435590969,0.7776361221779549
adversarial,B0,macro_f1,,,,none,5,0.527004502093376,0.5162136317543097,0.5380235385914853
adversarial,B0,demographic_parity_gap,,,,none,5,0.03000144166123342,0.026262145123312562,0.03383285046274074
adversarial,B0,equal_opportunity_gap,,,,none,5,0.032500252763114926,0.027459385108739482,0.03754112041749036
adversarial,B0,equalized_odds_gap,,,,none,5,0.032500252763114926,0.027459385108739482,0.03754112041749036
adversarial,B0,subgroup_accuracy_gap,,,,none,5,0.17634498497970327,0.17354315939969042,0.17908510416920115
adversarial,B0,runtime_ms,,,,none,5,82.86353340372443,78.78615839290433,87.44971681735478
adversarial,B6,accuracy,,,,none,5,0.7687782204515272,0.7587118193891103,0.7819654714475431
adversarial,B6,macro_f1,,,,none,5,0.5221285284038968,0.4498838696087928,0.6337768075261827
adversarial,B6,demographic_parity_gap,,,,none,5,0.03725526637123472,0.0059177275005916396,0.08749303275636032
adversarial,B6,equal_opportunity_gap,,,,none,5,0.0157253501697368,0.00555404817979134,0.030317750368291495
adversarial,B6,equalized_odds_gap,,,,none,5,0.02518118874241096,0.01099522406236306,0.04002603589137506
adversarial,B6,subgroup_accuracy_gap,,,,none,5,0.1662092900954784,0.12198622043062439,0.19148124443266917
adversarial,B6,runtime_ms,,,,none,5,80.54880860145204,78.61605040961877,82.50152539112605
adversarial,B0,accuracy,,,,random_weights,5,0.6439442231075697,0.5110756972111553,0.7301593625498007
adversarial,B0,macro_f1,,,,random_weights,5,0.5390674631097035,0.44656414814506434,0.6221940297025773
adversarial,B0,demographic_parity_gap,,,,random_weights,5,0.06704631415445138,0.023064966968064798,0.13519446910789973
adversarial,B0,equal_opportunity_gap,,,,random_weights,5,0.07808763711327955,0.021277798944506897,0.13721695529263114
adversarial,B0,equalized_odds_gap,,,,random_weights,5,0.09184259959633945,0.0487877239106267,0.14267915192691172
adversarial,B0,subgroup_accuracy_gap,,,,random_weights,5,0.1064378829657124,0.08380961077132568,0.13235286194227175
adversarial,B0,runtime_ms,,,,random_weights,5,80.98736699903384,78.36831720196642,83.45876699313521
adversarial,B6,accuracy,,,,random_weights,5,0.7724568393094289,0.7592961487383798,0.7902390438247011
adversarial,B6,macro_f1,,,,random_weights,5,0.5276234672740073,0.4521812842502742,0.6352539269009534
adversarial,B6,demographic_parity_gap,,,,random_weights,5,0.038275590224072474,0.0063003424261363,0.08452262628833049
adversarial,B6,equal_opportunity_gap,,,,random_weights,5,0.028237952624480783,0.010745259906172,0.05109630645971121
adversarial,B6,equalized_odds_gap,,,,random_weights,5,0.028269599319442885,0.010745259906172,0.0511912465445975
adversarial,B6,subgroup_accuracy_gap,,,,random_weights,5,0.16751642971261588,0.12873858292864876,0.19097650453256723
adversarial,B6,runtime_ms,,,,random_weights,5,79.58420839859173,76.83581680175848,82.33259999542497
adversarial,B0,accuracy,,,,sign_flip,5,0.7714342629482072,0.7503851261620186,0.7906905710491368
adversarial,B0,macro_f1,,,,sign_flip,5,0.5842530157740728,0.5013419217459845,0.6628785037866969
adversarial,B0,demographic_parity_gap,,,,sign_flip,5,0.1267738957455668,0.02555375527877788,0.2950556596175845
adversarial,B0,equal_opportunity_gap,,,,sign_flip,5,0.11085864629786286,0.02977692298464968,0.2304535855518889
adversarial,B0,equalized_odds_gap,,,,sign_flip,5,0.11615552889952907,0.02977692298464968,0.24610352290117712
adversarial,B0,subgroup_accuracy_gap,,,,sign_flip,5,0.1750759780744729,0.156465168616092,0.19392359548506283
adversarial,B0,runtime_ms,,,,sign_flip,5,79.52514179632999,77.6285917905625,81.42169180209748
adversarial,B6,accuracy,,,,sign_flip,5,0.767636122177955,0.7598804780876494,0.7760690571049137
adversarial,B6,macro_f1,,,,sign_flip,5,0.5252131590722435,0.45465734051345474,0.6283561504109386
adversarial,B6,demographic_parity_gap,,,,sign_flip,5,0.03563186796268668,0.00682736819837332,0.07952918276784147
adversarial,B6,equal_opportunity_gap,,,,sign_flip,5,0.018942210640498842,0.01080443789196126,0.032205847995974056
adversarial,B6,equalized_odds_gap,,,,sign_flip,5,0.02281678856197462,0.01080443789196126,0.036484846901415235
adversarial,B6,subgroup_accuracy_gap,,,,sign_flip,5,0.16319172283050792,0.11503428804792629,0.19053218321650764
adversarial,B6,runtime_ms,,,,sign_flip,5,79.64927499415353,77.0875749993138,82.29635859024711
